question_order,question_answer_group_id,speaker,role,company,content_type,content,quarter,year,score,label
3,3,David Solomon,CEO,Goldman Sachs,answer," they absolutely do. i mean, when markets improve, they help the disposition. there's no question. i also -- when you look at the last two years, we've had real headwinds in terms of revenue against the balance sheet that we could have more of that, but on a much smaller balance sheet in 2024. with a better market, you actually might have some beneﬁt to revenue performance, but we're focused on reducing that broadly . you see you have more transparency now in the platforms as we continue to close on greensky , move gm to held for sale. and so you have more transparency on that. w e think the drag will be signiﬁcantly reduced in 2024. when we're comfortable providing more speciﬁc color on that, we will provide it.",4,2023,0.5177145004272461,Negative
6,8,David Solomon,CEO,Goldman Sachs,answer," well, it's scale. the americas is the biggest part of the activity level. and just given the resilience of the us economy , i think you've seen a material pick up there, proportionally that's broader than other places. but we are seeing more activity across europe, particularly strategic dialogue. i'd say , the one place where things are slower , obviously , is in asia with respect to china. and just given the nature of economic activity there, where things are positioned, that still seems slower , both on both the m&a  side and the capital market side. but those are comments that make it a high-level, gerard.",4,2023,0.7522264122962952,Negative
2,4,Brennan Hawken,Analyst,UBS,question," great. thanks. thanks for that color , david. i appreciate it. and then another question on alts. so, fundraising looks really good. i know there can be some noise in the revenue. so, just curious about the alts revenue down year-over-year and the aus only up sort of marginally sequentially . could you give some color around what was happening in those lines and maybe any potential noise?",1,2024,0.6693798899650574,Negative
0,9,Saul Martinez,Analyst,HSBC,question," hi. thanks for taking my questions. i wanted to ask about your ﬁnancing business in markets. and obviously , there's uncertainty about the basel end-game proposal. as you mentioned, the direction of travel seems to be for it to be materially lightened or even re-proposed. but one of the areas where it is very punitive versus other jurisdictions is in securities ﬁnancing, the risk weightings for unlisted entities. and if that part of the proposal isn't materially altered, it doesn't seem like it necessarily is a focus, does that impact your ability to grow your ﬁnancing revenues? is it a threat? is it not a big deal? can you of fset it through pricing, product design? just curious if you can provide a little color on that.",1,2024,0.6721660494804382,Negative
5,4,David Solomon,CEO,Goldman Sachs,answer," look, as a general matter , what i'd say , mike, as a general matter , we're supporters of stress testing. w e believe it's an important component of the fed's mandate to really ensure the safety and soundness of the banking system. however , we've maintained for some time that there are elements of this process that may be distracting from these goals of safety and soundness. the stress test process, as you just highlighted, is opaque. it lacks transparency . it contributes to excess volatility and the stress capital buf fer requirements, which obviously makes prudent capital management difﬁcult for us and all of our peers. w e don't believe that the results reﬂect the signiﬁcant changes we've made in our business. they're not in line with our own calculations, despite the fact that the scenarios are consistent year- over-year . now, despite all that, you know , we've got the capital ﬂexibility to serve our clients. we'll continue to work with that capital ﬂexibility and we'll also continue to engage around this process to ensure that over time we can drive the level of capital that we have to hold in our business mix down. but obviously we have more work to do given this result.",2,2024,0.9382886290550232,Negative
1,5,Denis Coleman,CFO,Goldman Sachs,answer," so, steve, thank you for the question. i mean on a sequential basis, they're down, but that's because we have the absence of the green sky contribution. there actually is growth across the card portfolio. i think you've seen that the level of growth has slowed as we have sort of implemented several rounds of underwriting adjustments to the card originations and so our expectation is that on the forward you know the period-over-period growth should be more muted.",2,2024,0.9986007809638977,Negative
2,0,Glenn Schorr,Analyst,Evercore,question," i appreciate that. this one will be a short follow-up. with hpi was weak, but that'll happen on any given quarter . i think if you look over a long period of time, you've earned good returns on your historical principal investments. but as that book shrinks the 10.9 that's left, the 4 billion attributed to it, if i take a, should i -- is it okay to take a historical roe-ish on that capital to think about the lower revenue corresponding to the lower book going forward on hpi?",3,2024,0.7867083549499512,Negative
0,2,Christian Bolu,Analyst,Autonomous Research,question," can you hear me? i just have a question on the trading business and the competitive landscape. how are you thinking about the -- maybe the broader competitive landscape with the -- with other banks? your market share seemed to peak in 2022. it's been a bit choppy since then as a market share. just curious, are you seeing signs of competitors coming back, increasing competition from anywhere. i'm just curious on your thoughts there.",3,2024,0.782660722732544,Negative
0,6,Steven Chubak,Analyst,Wolfe Research,question," i wanted to spend some time just looking at or unpacking some of the self-help levers, recognizing that the business is still burdened by capital consumption from some of the noncore assets, whether it's in consumer or equity investments. denis, i believe in your prepared remarks, you alluded to an 80 bp drag on roe from consumer . and i was hoping you could maybe provide a more holistic picture, just frame the drag on returns from various noncore activities today . and are there any remaining self-help levers that could bolster returns which may still be on the come?",3,2024,0.7270560264587402,Negative
2,2,Betsy Graseck,Analyst,Morgan Stanley,question," hi. i did just want to follow up on one thing here regarding the point you were making on platform solutions. it's a drag right now , 75 bps to 100 bps on roe, but '25 and '26, that will improve. so could you just step us through -- i mean, we know what your plans are for platform solutions. but i'm wondering what's happening in '25 and '26 that will drive the reduction of the drag in this year and next, if you could speak through that.",4,2024,0.585633397102356,Negative
1,0,Denis Coleman,CFO,Goldman Sachs,answer," good morning, glenn. it's denis. i'll take that. i think when you think about the components of our overall ﬁnancing, the reality is we continue to see signiﬁcant demand across the client base for both our ficc and equity ﬁnancing. i think what you're referencing given change in asset prices and market activity , we did have a level of record average prime balances over the course of the ﬁrst quarter , but it's reasonable to expect that some of those balances come down as asset prices reset and then you'll continue to support clients with their ﬁnancing needs, but perhaps of f of a lower base given the adjustment in market prices.",1,2025,0.9732251167297363,Negative
0,1,Ebrahim Poonawala,Analyst,Bank of America,question," hey, good morning. i wanted to follow up on glenn's question. i guess, denis, i think the view is the world in-markets changed a little bit come april 2nd, and the risk from an investor standpoint is activity fallen of f the clif f. it's negative for ﬁnancing. it could be negative for trading. so i'm not sure if you have data in terms of the 10 days for april. and if you can give us -- if you can contextualize just how negative the last 10 days have been following a very strong 1q and how we should think about just where clients are as we go back to debating good volatility versus bad volatility?",1,2025,0.9422439932823181,Negative
5,3,Denis Coleman,CFO,Goldman Sachs,answer," sure. thanks, betsy . good question. so obviously , there's multiple components to var across the various asset classes and then a diversiﬁcation ef fect as well. over the course of the ﬁrst quarter for our average daily v ar, we had reduced exposures offset by elevated levels of volatility . so you obviously have both factors across asset classes that factor into the calculation. but to your question, obviously increased or persistent levels of volatility could have upward pressure on a v ar measure.",1,2025,0.5394721627235413,Negative
0,5,Steven Chubak,Analyst,Wolfe Research,question," hi, good morning, david. thanks for taking my questions. i had a two-parter on alternatives, david. i was hoping you could speak to bigger picture, just the outlook for sponsor activity across the complex, given some of the headwinds to realization activity as well as the heightened macro uncertainty you cited. and then just drilling down to the third-party alts disclosure, what contributed to that fee rate contraction on the credit side, just given the step down was meaningful? and i know that's a high priority growth area for you and the management team.",1,2025,0.6364207863807678,Negative
4,5,David Solomon,CEO,Goldman Sachs,answer," yeah. so i mean there are a couple of things, steven, that i'd say , ﬁrst of all, this is a little bit counterintuitive. but when the landscape changes, companies have to rethink their strategic positioning. and interestingly , when you look at dialogues, dialogues are increasing. now obviously , increased dialogues take a while to turn into deals and play through. but denis was quite clear we had a notable increase in our backlog. our backlog is up a lot during the quarter . obviously , revenues lag the period of deal announcements. so the backlog and the deal announcements are reﬂective of the second half of last year , the early part of this year . in a period of uncertainty , things will slow down. but again, it's a big complex world. there's a lot of change going on. dialogues are up. i do think for a period of time, there'll be some uncertainty around how certain things that were close proceed forward. but i would expect a signiﬁcant amount of m&a  activity through the rest of the year . but obviously , if the landscape got more constrained, there's a risk of it slowing. but we're continuing to be out with clients doing the things that we do. and i don't see anything at the moment that leads me to believe that it's a fundamental shift in that activity .",1,2025,0.5183939337730408,Negative
2,8,Erika Najarian,Analyst,UBS,question," got it. and my follow-up question is this. so there's been increased questions from investors about how global investment banks like goldman, how the standing is impacted by some of the policy volatility , if you will, in terms of your internationally sourced revenues. and we had sort of two dif ferent answers from your peers on friday . jamie was a little bit more pessimistic. ted was a little bit more optimistic about the international revenue outlook going forward, given all of the global policy and david and denis, i wanted to get your thoughts on that, on whether or not what the us is doing could impact some of that sourcing.",1,2025,0.9520018100738525,Negative
