question_order,question_answer_group_id,speaker,role,company,content,year,quarter
4,2,Ken Usdin,Analyst,Jefferies LLC,"Okay. Thanks, Jeremy.",2022,1
5,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah .,2022,1
0,3,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,Hi. Good morning.,2022,1
1,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Morning, Betsy.",2022,1
2,3,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"I had a question for Jamie. In your annual letter, you mentioned how you expect to achieve double -digit market share over time in payments.
And what I wanted to understand is if you could unpack that a little bit because when I look at payments, you've got a lot of different sleeves.
For example, in consumer credit card, you're at 20%, 25%. In treasury, I think you're at 7%. So could you give us a sense as to where you
think you are in this total payments category you're talking about, what you're expecting in terms of drivers to get to doubl e-digit and what kind
of timeframe you're thinking about there? Thanks.",2022,1
3,3,Jamie Dimon,"Chairman, Chief Executive Of ficer",JPMorgan Chase & Co.,"Yeah. So, Betsy, that number, the double -digit, relating just to wholesale payments, not to consumer payments, which obviously we already
have a fairly significant share. And we've gone from 4.5% to something a little bit nor th of 7% over the last five years. And we're just building
out, and I gave some examples. We'll not give a lot when you have Investor Day coming up. We're building all the things we ne ed, real -time
payments, certain blockchain type things, wallets, there's  a couple acquisitions that are building out our wholesale capabilities to do a far
better job for clients globally around the world and supported by what I would say is very good cyber risk controls which cli ents really need too,
by the way. So it's kind of across the board. It's nothing mystical about it. But it's an area we want to win in.",2022,1
4,3,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Okay. And getting to double digits is over the same kind of timeframe, the same pace going from 4% to 7%? Or you think you can accelerate
that? Because I see what's...",2022,1
5,3,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,I wasn't meaning to put a timeframe on it. But I would say five years. You'll get more update on this at Investor Day.,2022,1
6,3,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Okay. And then just the follow up here is on the NII outlook where you indicated the curve suggests the plus side, and is it a couple of billion.
And I guess the question I have is, historically you've been looking to reinvest that benefit from rising rates. You did that last cycle as well.
What I'm hearing is that maybe you don't want to size it for us right now today because you plan on investing it and explaini ng that at Investor
Day. Is that a fair take away?",2022,1
7,3,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"No, no, no.",2022,1
8,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,No.,2022,1
9,3,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"We don't look at it that way, like we're reinvesting NII. The investing stuff we look at all the time. We're investing a lot of money for the future
kind of across the board. But that's not why he's saying –",2022,1
10,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. I mean, I think fundamentally, we have had confidence in delivering our 17% ROTCE through the cycle. We've talked a lit tle bit over the
last couple of quarters about, at the time, some short -term headwinds to that mostly as a function of the rate environment and a couple of
other things. The investment plan is a strategic plan that recognizes that sort of confidence in the 17%. The fact that that moment may be
getting pulled forward as a result of the Fed's reaction  to the economy has no impact on how we think about spending.",2022,1
11,3,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,Okay . Great. Thanks for that.,2022,1
0,4,Steven Ch ubak,Analyst,Wolfe Research LLC,Hey. Good morning. So…,2022,1
1,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Hi Steve.,2022,1
2,4,Steven Chubak,Analyst,Wolfe Research LLC,"...wanted to start off with a question on QT. In the past, you've spoke about the linkage between Fed balance sheet reduction and deposit
outflow expectation for yourselves and the industry. And with the Fed just outlining a more aggressive glide path for balance  sheet reduction,
how should we be thinking about deposit o utflow risk? Any views on how betas may differ versus last cycle given a more aggressive pace of
Fed tightening?",2022,1
3,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Hey, Steve. So this is a fun question. So let's nerd out a little bit. And I'm sure Jamie will jump in.",2022,1
4,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,And then I’ll simplify for you.,2022,1
5,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, exactly. Okay. So look, I think we've talked a little about what happened in the prior cycle, right? So you had QE, and then you had big
expansion in bank deposits, just some wide expansion. And then at the tail end of that cycle, you had RRP come in. And then R RP has gotten
sort of quite big as QE fin ished. And so now as you look at potentially kind of running that whole thing in reverse, you might actually expect
that the first thing that would happen is that RRP would get drained and only later would bank deposits start to shrink.
But I think you co rrectly point out some of the nuances in the Fed minutes. And when you sort of combine all the effects together, you realize
that there's a lot of interacting forces here. And it's really, I think, very intelligent people differ on their predictions about what's going to happen
here. And just to outline a couple of those.
So it's worth noting for starters that, in general, industry -wide loan growth outlook is quite robust and that should be a tailwind for system -wide
deposit growth. So as you note, yeah, QT will start in May, in all likelihood per the minutes, headwind. Then you just have to look at what's
going to happen in the front end of the curve particularly in bills. So the Treasury has to make decisions about weighted ave rage maturity and
what makes sense there. There's obviously a little bit of shortage, of short -dated collateral in the market right now. So, that might argue for
wanting more supply there. The Fed has to make decisions about portfolio management. They talked in the minutes abo ut using bill maturities
to fill in gaps and so on and so forth. And so those things are going to interact in various ways.
I think one thing that's worth noting though is that if you wind up in the state of the world where bank deposits drain soone r than  people might
have otherwise thought, in all likelihood, that's going to be the lower value, non -operating type deposits. So in any case, we'll see.
But to simplify it for a second, our base case remains modest growth and deposits for us as a company and just pivoting away for a second
from the system to us. From a share perspective, we've taken share in retail deposits, and we feel great about that. And in w holesale, we've
had some nice wins and a nice pipeline of deals there. So that's the current thinki ng on that topic.",2022,1
6,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"So the answer is we don't know, okay. And you guys should read economists' reports, but the fact is initially it probably won 't come out of
deposits. Over time, it will come out of wholesale and then maybe consumer. We're prepared for that. It doesn't actually mean that much to us
in the short run. And the beta effectively, we don't expect to be different from what it was in the past. There are a lot of pluses and mi nuses.
You can argue a whole bunch of different ways, but the fact is it won't be that much different, at least the first 100 basis point increase.",2022,1
7,4,Steven Chubak,Analyst,Wolfe Research LLC,"No, that's really helpful color. Thanks for allowing us to nerd out with you guys on that. Just one more topic or follow up, I should say. Jamie,
just in the shareholder letter, you had spoken about how the market is underestimating the number of Fed hikes that might be needed to curb
inflation. What's your expect ation around the level of Fed tightening? I know it's difficult to make such predictions, but maybe if you could just
help us understand given your own rate outlook how that's informing how you're managing excess liquidity, given the significa nt capacity t hat
you have to redeploy some of those proceeds into higher yielding securities.",2022,1
8,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. So I think the implied curve now is like 2.5% at the end of the year and maybe 3% at the end of 2023. Look, no one knows. Obviously,
everyone does their forecast. I think it's going to be more than that, okay. I'll give you a million different reasons why be cause of inflation, and
we just talked about deposits. And we've never been through, ever, QT like this. So this is a new thing for the world. And I think it's more
substantially important than other people think because the huge change of flows of funds is going to create as people change  their
investment portfolios. We're going to be fine beca use we're going to serve the hell out of our customers and gain share.
So what does it do for JPMorgan Chase? JPMorgan Chase will be fine. We have plenty of capital, plenty of growth – we have great margins.
We already have the returns we want and all the  things like that. So I would just be cautious, I think we should expect these volatile markets.
Again, that's okay for us. And the Fed – we just think the Fed needs to do what they need to do to try to manage this economy and try to get to
a soft landing if possible.",2022,1
9,4,Steven Chubak,Analyst,Wolfe Research LLC,And any appetite to deploy the excess liquidity?,2022,1
10,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"No, don’t expect that.",2022,1
11,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah . Okay. Yeah we can leave it there.,2022,1
12,4,Steven Chubak,Analyst,Wolfe Research LLC,Okay. Thanks so much.,2022,1
0,5,Glenn Schorr,Analyst,Evercore ISI,"Hi. Thank you. I wonder if you could talk through the changes in the macro assumptions to capture that downside risk in CECL assumptions.
What I want to get to is where we came from, where we're at now, and then we can impose our thoughts on each quarter as we go...",2022,1
1,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. Guys, I don't want to spend a lot of time on CECL, okay. I think it's a complete waste of time. Basically, all we said is the chance of a
adverse or severe adverse event is 10% higher than it was before. That's all we did, very basic. And that led to...",2022,1
2,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"It really is that simple, Glenn.",2022,1
3,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"And we don't know – and it's a guess. It's probability weighted, hypothetical, multiyear scenarios that we do the best we can, but to spend a lot
of time on earnings calls about CECL swings is a waste of tim e. It's got nothing to do with the underlying business.
Charge -offs are extraordinarily good, as a matter of fact, way better than they should be. I mean, middle market 1 basis point; Cred it Card 1.5.
We would have told you in the past that the best they' ll ever be is 2.5. So credit's very good. That'll get worse. NII is going to get much better.
Things are going to normalize. We're still earning 16% or 17% on tangible equity. And obviously, you have really – yeah.",2022,1
4,5,Glenn Schorr,Analyst,Evercore ISI,Yeah. The 10% is what I wanted because your guess is better than my guess. So I appreciate that.,2022,1
5,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Glenn, with all due respect, I do not believe it is.",2022,1
6,5,Glenn Schorr,Analyst,Evercore  ISI,"Okay. We'll have a pinky bet. So I think you might have just answered, but I want to make sure I ask it explicitly. The follo w up I have on credit,
and I know it's in much better shape and it depends on the go forward, but are you seeing any stress es in the levered parts of the debt
markets, meaning levered loans, high -yield, CLO, private credit? Anything in there that makes you turn a side eye?",2022,1
7,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Just spread widening and a little bit less liquidity.,2022,1
8,5,Glenn Schorr,Analyst,Evercore ISI,That doesn’t sound so bad.,2022,1
9,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. No. I mean, Glenn, I think, look, no one likes to be complacent about this type of stuff. And obviously, in this environment, everyone's
looking very closely everywhere for any risks and trying to see around the corner. But as of right now, we're really not seei ng anything of
concern in the kind of spot metrics, so to speak.",2022,1
10,5,Glenn Scho rr,Analyst,Evercore ISI,"Maybe the last quickie on credit is just with everybody having a job and there's wage inflation and excess cash, are there an y buckets of the
income that you're seeing the early -stage delinquencies picking up?",2022,1
11,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"In short, no. It is an interesting question as you look across our customer base, particularly in Card, and sort of the heavi ly debated question of
real income growth and gas prices and what's that doing to consumer balance sheets. And so we're watching that, especially in the kind of
LMI segment of our customer base, but right now we're not actually seeing anything that gives us reason to worry.",2022,1
12,5,Glenn Schorr,Analyst,Evercore ISI,Okay. Thank you for all  that.,2022,1
13,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Glenn.",2022,1
0,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Thank you. Good morning, Jeremy .",2022,1
1,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Hey, Gerard.",2022,1
2,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Can we follow up on your comments about building up the reserves? I think you said it was $902 million that you guys built up , and it was due
to high inflation and the war in the Ukraine. How much was it due to inflation? And when you made that comment, is  it because you're
concerned about the lower end consumer spending more money for fuel and food that may lead to greater delinquencies down the road? And
how much was it due to the Ukraine situation?",2022,1
3,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, Gerard, it's really a lot more general than that. So just to repeat, 900 build, 300 named specific primarily related to  Russia -associated
individual names. The other 600 is portfolio level. And as Jamie just said, it simply reflects increasi ng the probability from a very low probability
to a slightly higher probability of a, you might call it, Volcker style Fed induced recession in response to the current infl ationary environment,
which obviously is in part driven by commodity price increases , which are in part driven by the war in Ukraine, so. But it's not a super micro
portfolio level thing except to the extent that our models handle that. It's a top down modification of the probabilistic wei ghts.",2022,1
4,6,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"One of the things I hated when CECL came out is that we'd spend a lot of time in every call yapping about CECL. I just think it's a huge
mistake for all of us to spend too much time on it.",2022,1
5,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Understood. And then as a follow up, Jeremy, if we look at the AOCI number that you gave us, and you were very clear about it , it's going to
accrete back into the capital as those securities mature, two things. Is there anything you can do, assuming if the long end of the curve
continues to rise and probably giving you maybe a bigger hit on AOCI as we go forward, is there anything you can do to mitiga te that, whether
to shrink that, the available -for-sale portfolio, which  looks like it was $313 billion at the end of this period? Or do you just have to grow the
revenue, as you pointed out, as another way of growing your capital?",2022,1
6,6,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. I mean, I think that obviously we always try to grow revenue sort of independently of anything else. I think the large point here is, yes,
there are some things that can be done to mitigate this, but the big picture is that the central case path is one that gets u s to whe re we want to
be when we need to be there in terms of CET1 and leverage. And if things don't play out along the lines of the central case, we have tools and
levers available to adjust across a range of dimensions, so.",2022,1
7,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,Okay. Thank you.,2022,1
0,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Hi. I have a question for both Jeremy and Jamie. Jeremy, I guess the SLR 5.2% close to the minimum, you explained that. But the since
quarter end, AOCI probably has gotten worse and I'm guessing your SLR might be very – even closer to that minimum. So I understand your
central case, it's fine. Your outlook is good . But at what point do you say – do you stop buybacks? Or do you think you'll buy back maybe half
of the $30 billion authorization or does JPMorgan even put on asset caps given just the amazing asset growth over the last th ree months? So
that's my question  for Jeremy.
The bigger picture is for you, Jamie. Your CEO letter, the takeaway was in the eyes of the beholder like, oh, Jamie is really  worried about a
recession this year. No, he's not. So the first question certainly ties into the second. So, Jeremy,  plan for buybacks, stopping at asset caps.
And then, Jamie, your view of the broader economies and that feeds into your expectations for capital growth. Thank you.",2022,1
1,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Okay. Mike, so let me take this capital one. So first of all, let's not talk about asset caps. That's just not a meaningful thing. I think that's a
distraction and the terminology is unhelpful. Then in terms of the leverage ratio, just remember that the denominator of that  numb er is so big
that it actually takes like pretty big moves to move the ratio. So 5.20% is actually still pretty far away from 5% and of cou rse there are relatively
easy to use tools to address that as well, as was alluded to earlier.
In addition, I do thin k it's worth just reminding everyone of how the ERI restrictions work now relative to how they were at the beginning of the
crisis. Just briefly, just to remember that based on the redefinition, if you drop into the regulatory buffer zone, your subj ect to 60% of restriction
which based on our recent historical net income generation still gives us like ample, ample capacity to pay the dividend and so on. So it's
obviously not part of the plan, but it's just worth remembering that the cliff effects that we ha d in there at the beginning of the pandemic are no
longer there.
And then in terms of buybacks, just a reminder that the $30 billion authorization is a non -time bounded SEC requirement. It's not the old
CCAR standard. So it's just a signal that we want to  have that capacity and that flexibility, but it doesn't really say that much about how much
we're actually planning to do in the near -term.",2022,1
2,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Are you allowed to say what you're planning to do in the near -term like just – like if you're kind of like half the level last year, do you think you
can keep that or does it slow down or you're not giving guidance now –",2022,1
3,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. So let's talk about buybacks for a second. In the post -SCB world, we haven't been guiding a lot on the pace of buybacks, mainly
because as you know they're at the bottom of our capital stack. So we're focused on investing in the business, providing capi tal to support
growing RWA, acquisitions when they make sense, et cetera, et cetera… and buybacks are an output.
As we have discussed, in the current environment, the rate of buybacks is clearly going to be less than it was in the 2021 pe riod as a result of
the interaction of all those effects and that's a good thing. It means that we have better uses for the capital and if things evo lve one way or the
other, then the rate of buybacks will be an output but it's one of the tools in the toolkit.",2022,1
4,7,Jamie Dimon,"Chair man, Chief Executive Officer",JPMorgan Chase & Co.,"Mike, I would just say…",2022,1
5,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,Okay.,2022,1
6,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"...if you look at liquidity and capital, it's extraordinary. And we don't want to have buffers on top of buffers. So we're going to manage this pretty
tightly over time. And obviously, when you have AOCI and earnings and CECL, all that, but being conscious of all that. We can  manage
through that and we've done some acquisitions this year. And so plus, we are adding – we're planning to have more capital for the increase in
G-SIFI down the road which reduces stock buyback.
But the amount – I'd look at the amount of liquidity, the earnings,  the capital, all that. That's the stuff that really matters and at the end of the
day, it's driving customers. We serve customers which is why we're here. We don't serve managing SLR. That's kind of an outpu t of stuff we
do and so – and then your question  about – I think it was about recession basically. Yeah...",2022,1
7,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,Yes.,2022,1
8,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"...do you want to read the question, Mike.",2022,1
9,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Yeah, no, I mean, if you read your CEO letter, that's great. You're the Chief Worry Officer. You're the Chief Risk Manager. Y ou're bringing up
all the things that keep you up at night which is great. But you can read it one way and say, hey, Jamie and JPMorgan thinks there's going to
be a recession this year. And you can read it another way saying, hey, things are fine but these are some tail risks. So, do you think – and I'll
repeat what Glenn said. Your view's better than mine, and  I'm not going to accept anything else. You have a lot people, a lot of resources. Do
you think the US is going to have a recession this year based on everything you know?",2022,1
10,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. I don't. But I just want to caution this. First of all, I can't forecast the future any more than anyone else. And the Fed fore casts it, and
everyone forecasts it, and everyone's wrong all the time. And I think it's a mistake. We run the company to serve cli ents through thick or thin.
That's what we do. We know there are going to be ups, we know there are going to be downs. We know the weather's going to cha nge and a
lot of stuff like that.
But I have pointed out in my letter is very strong underlying growth  right now which will go on. It's not stoppable. The consumer has money.
They pay down credit card debt. Confidence isn't high, but the fact that they have money, they're spending their money, they have $2 trillion
still in the savings and checking account s. Businesses are in good shape. Home prices are up. Credit is extraordinarily good. So you have
this, that's one factor. That's going to continue in the second quarter, third quarter. And after that, it's hard to predict.
You've got two other very large countervailing factors which you guys are all completely aware of. One is inflation/QT. You've never seen that
before. I'm simply pointing out that those are storm clouds on the horizon that may disappear, they may not. That's a fact. A nd I'm quite
conscio us of that fact. And I do expect that alone will create volatility and concerns and endless printing and endless headlines an d stuff like
that.
And the second is war in Ukraine. I pointed out in my letter that war in Ukraine, usually wars don't necessaril y affect the global economy in the
short run. But there are exceptions to that. This may very well be one of them. I'm not looking at this on a static basis, ok ay? So you're looking
at this war in Ukraine, and we have sanctions. Things are unpredictable. W ars are unpredictable. Wars have unpredictable outcomes. You've
already seen in oil markets, the oil markets are precarious. Okay? So I pointed that out over and over that if people don't u nderstand that
those things can change dramatically for either phys ical reasons, cyber reasons, or just supply/demand.
And so that's another huge cloud on the horizon. And we're prepared for it. We understand it, we're just, I can't tell you th e outcome of it. I
hope those things all disappear and go away, we have a soft  landing and the war is resolved, okay. I just wouldn't bet on all of that. And of
course, being a risk manager, we're going to get through all of that. We're going to serve our clients, and we're going to ga in share. We're
going to come out of that earnin g tremendous returns on capital like we have in the past.",2022,1
11,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,All right. Thank you.,2022,1
12,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,You’re welcome.,2022,1
0,8,Matt O’Connor,Analyst,Inc.,"Good morning. I was hoping you guys could comment on there's some articles on the nickel exposure and how the losses could ha ve been
significan t if the trades hadn't been canceled and some of the actions that were taken. And just as a follow up, you guys have talked a bout
kind of looking at that business and reevaluating just how you think about some of the outsize risks, and maybe you could upd ate us on that
process.",2022,1
1,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"We've already told you, we're helping our clients get through this. We had a little bit lost this quarter. We're going to man age through it. We'll
do postmorte ms on both what we think we did wrong and what the LME could do differently later. We're not going to do it now.",2022,1
2,8,Matt O’Connor,Analyst,Inc.,"And then I guess, I mean, more broadly speaking, given what we just saw where it was probably a several standard deviation event and kind
of, as you mentioned, markets might do more of these unusual things like, does it make you step back and look at other portfo lios, other
businesses and try to reduce...",2022,1
3,8,Jamie Dimon,"Chairman, Chief  Executive Officer",JPMorgan Chase & Co.,"In my life, I've seen so many ten standard deviation events...",2022,1
4,8,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, exactly.",2022,1
5,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"...you'd be shocked. So obviously, we're aware of that all the time in everything we do.",2022,1
6,8,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. And I would take it one step further. I think the whole paradigm of saying it's a ten standard deviation event is naïve, right? We know
that returns are not normally distributed. We know that. Regulators know that. The capital framework recognizes that in a bro ad variety of
ways including things like stress VaR . So I don't think – of course  you can't predict where and in which asset class and in which particular
moment you're going to see these types of fat -tail events, but the framework recognizes in a range of ways that that's the case, and that's how
we manage risk, and that's how we're c apitalized.",2022,1
7,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"So we do CCAR once a year, as you guys see. But no, we actually run 100 different various stress tests every week with extrem e movements
in things. And that's what we do. And you're always going to be a little surprised somewhere, but we're pretty conscious of those risks. And all
events like this, we always look at, but it doesn't happen to us. It can happen to someone else. We still analyze everything that maybe we
were on the wrong side of something too. But at the end of the day, in all of our businesses, we're here to serve clients all t he time. That
means taking rational, thoughtful, disciplined risk to do that.",2022,1
8,8,Matt O’Connor,Analyst,In c.,"And then just separately, you mentioned earlier that you weren't looking to deploy large amounts of your liquidity. And I gue ss the question is
you might get the rate benefit just from Fed funds going up, but is there an opportunity to accelerate tha t benefit just by moving from cash into
shorter -term treasuries? We've obviously had a big move in...",2022,1
9,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Guys, we're just talking about interest rates going up maybe more than 3%, convexity is going up, AOCI is going up. There are all these
various reasons not to do that. We're not going to do it just to give you a little bit more NII next quarter.",2022,1
10,8,Matt O’Connor,Analyst,Inc.,Okay. Thank you.,2022,1
0,9,James Mitchell,Analyst,Seaport Global Securities,"Hey. Good morning. Maybe you could just talk about how you're thinking about the trajectory of loan growth from here, where you're seeing
the biggest pockets of strength. And specifically to cards, is this significant year -over-year growth driven more by slowing pay downs? Or is
that increasing demand, or a combination of both? Thanks.",2022,1
1,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Sure. So you'll remember in the fourth quarter that we talked about the outlook based on sort of high -single -digit loan growth for the
year. And this quarter, we've roughly seen that. Interestingly, it's a little bit more driven by wholesale this quarter, which sort of brings us to
your question of Card. So overall, Card loan growth is reasonably robust when you adjust for seasonality and so on. And that' s really primarily
driven by spe nd which, as you know, is very robust.
The question inside of that is then what's going on with revolve. And I think our core revolve thesis of getting back to the pre-pandemic levels
of revolving balances by the end of the year is still in place to a goo d approximation. At the margin, we probably saw the take -off moment
delayed by six weeks or so because of Omicron. But some of that's reaccelerating now. We see that in some of the March number s. So we'll
see how it goes.
But also just a reminder that the re's a very, very close linkage between what we see in revolve and what we see in charge -offs. And so in the
moment where revolve is lagging potentially, certainly that was true throughout the pandemic period relative to what we had t hought, we also
saw ex ceptionally lower charge -offs. So on a bottom -line basis, the run rate performance, there's significant offset there.
But the core thesis is still there. Spend is robust. We are seeing spend down in some of the cash buffers in the customer seg ment that te nds
to revolve, so more or less as anticipated, I would say.",2022,1
2,9,James Mitchell,Analyst,Seaport Global Securities,"Okay. And then maybe just skipping over to trading, clearly a stronger quarter, must have finished off strongly in March. So any confirmation of
that? And how do we – if you're expecting more volatility around Fed and QT, should we be thinking that this could be a better than
normalization year? How are you thinking about trading, I guess, going forward?",2022,1
3,9,Jeremy Barnum,Chief Financ ial Officer,JPMorgan Chase & Co.,"Yeah. I mean, you know that we're going to be reluctant to like predict the next three quarters of trading performance.",2022,1
