year,quarter,sentence,kust_score,kust_label
2022,2,"Our RWA was down
approximately $44 billion with growth in franchise lending being more than offset by the combination of active balance sheet management and
the normalization of market risk RWA fr om the first quarter.",0.4964357912540436,Negative
2022,2,"CET1 capital was slightly down as earnings were offset by distributions and the
impact of AOCI drawdowns in our AFS portfolio.",0.9477104544639587,Negative
2022,2,"And with spending growing faster than incomes, median deposit balances are down across
income segments for the first time since the pandemic started though c ash buffers still remain elevated.",0.9947793483734131,Negative
2022,2,"With that as a backdrop, this quarter, CCB reported net income of $3.1 billion on revenue of $12.6 billion which was down 1% year -on-year.",0.9999995231628418,Negative
2022,2,"Deposits were up 13% year -on-year and 2%
quarter -on-quarter, and client investment assets were down 7% year -on-year driven by market performance partially offset by flows.",0.989966869354248,Negative
2022,2,"Home Lending revenue was down 26% year -on-year, as the rate environment  drove both lower production revenue and tighter spreads,
partially offset by higher net servicing revenue and mortgage origination volume of $22 billion was down 45%.",0.9999994039535522,Negative
2022,2,"Moving to Card & Auto , revenue was down 6% year -on-year reflecting higher acquisition c osts on strong new card account originations and
lower auto lease income largely offset by higher card NII.",0.9999934434890747,Negative
2022,2,"And in auto, originations were $7 billion down 44% from record levels a year ago due to continued lack of vehicle supply and rising rates while loans were up 2%.",0.9999997615814209,Negative
2022,2,Investment Banking revenue of $1.4 billion was  down 61% year -on-year or down 53% excluding the bridge book markdowns.,0.9999995231628418,Negative
2022,2,"IB fees were
down 54% versus an all -time record quarter last year.",0.9999969005584717,Negative
2022,2,"In
Advisory, fees were down 28% reflecting a decline in announced activity which started in the first quarter.",0.9999980926513672,Negative
2022,2,"The volatile market resulted in
muted issuance in our underwriting businesses.",0.9999954700469971,Negative
2022,2,Underwriting fees were down 53% for debt and down 77% for equity.,0.9999955892562866,Negative
2022,2,"In terms of outlook, while our existing pipeline remains healthy,
conversion of the deal backlog may be challenging if the current headwinds continue.",0.9999938011169434,Negative
2022,2,This was partially offset by credit and securitized products in a challenging spread environment.,0.998090922832489,Negative
2022,2,"Credit Adjustments &
Other was a loss of $218 million largely driven by funding spread widening.",0.9999945163726807,Negative
2022,2,"Gross I nvestment Banking revenue of $788
million was d own 32% driven by lower debt and equity underwriting activity.",0.9999990463256836,Negative
2022,2,"Deposits were down 5% quarter -on-quarter driven by migration of non-
operating deposits in to higher yielding alternatives which we expect to continue given the current rate environment.",0.9991492033004761,Negative
2022,2,"In addition, reductions in management fees linked to this year's
market declines have been almost entirely offset by the removal of most money m arket fund fee waivers.",0.9455443024635315,Negative
2022,2,"AUM of $2.7 trillion and ov erall client assets of $3.8 trillion down 8%
and 6% year -on-year respectively were predominantly driven by lower market levels partially offset by net long- term inflows.",0.9999774694442749,Negative
2022,2,"Finally, loans
were up 1% quarter -on-quarter while deposits were down 7% sequentially driven by seasonal client tax payments.",0.7734093070030212,Negative
2022,2,Corporate reported a net loss of $174 million.,0.9999111890792847,Negative
2022,2,Revenue was $80 million versus a loss in the prior year.,0.9999247789382935,Negative
2022,3,"The only significant item this quarter was discretionary net invest ment securities losses in Corporate of $959 million  as a result of repositioning
the portfolio by selling US Treasuries and mortgages.",0.9997431635856628,Negative
2022,3,"NIR ex Markets was down $3.2 billio n or 24%, largely
driven by lower IB fees and the  securities losses.",0.9999469518661499,Negative
2022,3,Cash buffers remain elevated across all income segments .,0.8300120234489441,Negative
2022,3,"However, with spending growing faster than income, we are seeing a continued
decrease in median deposits year -on-year, particularly in the lower income segment s. And not surprisingly, small business owners are
increasingly focused on the risks in the economic outlook.",0.9995700716972351,Negative
2022,3,"Client
investment assets were down 10% year -on-year, driven by market p erformance, partially offset by flows.",0.9999401569366455,Negative
2022,3,"Home Lending revenue was down
34% year -on-year, on lower production margins and volume.",0.9999997615814209,Negative
2022,3,"And in Auto, originations were $7.5 bil lion, down 35% due to the
lack of vehicle supply and rising rates.",0.9999996423721313,Negative
2022,3,"Card delinquencies
remain well below pr e-pandemic levels, though we continue to see gradual normalization.",0.8083983063697815,Negative
2022,3,"Investment Banking revenue of $ 1.7 billion was
down 43% year -on-year.",0.9999997615814209,Negative
2022,3,IB fees were down 47% v ersus a strong third quarter last year.,0.9994083642959595,Negative
2022,3,"In Advisory, fees were down 31%, reflecting lower announced activity this year.",0.9999984502792358,Negative
2022,3,"Underwriting businesses continued to be
affected by market vol atility, resulting in fees down 40% for debt and down 72% for equity.",0.9999997615814209,Negative
2022,3,"In terms of the fourth quarter outlook, we expect to be down versus a very strong prior year.",0.999953031539917,Negative
2022,3,"Equity Markets were down 11% against a
record third quarter last year.",0.9999877214431763,Negative
2022,3,"Gross Investment Banking revenu e of
$761 million was  down 43% year -on-year, driven by reduced capital markets activity.",0.9999998807907104,Negative
2022,3,"Finally, credit costs were $618 million, predominantly driven by a net reserve build of $587 million, while net charg e-offs remained
low.",0.7530596256256104,Negative
2022,3,"AUM of $2.6 trillion and overall client assets of $3.8 trillion were down 13% and 7% year -on-year, respectively, driven by lower
market levels, partially offset by continued net inflows.",0.9999966621398926,Negative
2022,3,"And finally, loans were flat quarter -on-quarter, while deposits were down 6%
sequentially, driven by migration to investments, partially offset by client flows.",0.967923104763031,Negative
2022,3,Corporate reported a net loss of $294 million.,0.9998956918716431,Negative
2022,3,"Revenue was a net loss of $302 million compared to a net loss
of $1.3 billion last year.",0.999722421169281,Negative
2022,3,"NIR was a loss of $1.1  billion,
down $852 million, primarily due to the securities losses I mentioned up front.",0.9999392032623291,Negative
2022,3,"Today's guidance for the fourth quarter of this year implies an approximate run
rate of $76 billion, and from this much higher level, we would now expect some modest decline for the full -year 2023.",0.9991356730461121,Negative
2022,3,"And as it rela tes to the Card net charge -off rate, we now expect the full -year rate to be
approximately 1.5%, below our previous expectations.",0.9999969005584717,Negative
2022,3,Such is an uncertainty in  the back of our mind.,0.9994438290596008,Negative
2022,3,"But obviously, if the environment gets
worse, we'll have to add to reserves , and/or if we change our outlook, meaning that we think the chance of adverse e vents are higher, we'll
change our reserves.",0.8821911811828613,Negative
2022,3,But there are s ome discretionary things which barely affect us .,0.9897283315658569,Negative
2022,3,"There are a lot of uncertainties today , and I'm just going to mention a few.",0.9654264450073242,Negative
2022,3,"And, of course, there are lags, there
are lags in consumer, there's going to be some lags in Treasury Services, there's going to be some lags in Commercial Banking .",0.795555830001831,Negative
2022,3,"We don't want to be locked into something we think will get worse and  not take a chance to buy
something that we think will get better.",0.8150225281715393,Negative
2022,4,"NIR ex Markets was down $3.5 billion or 26%, predominantly driven by lower IB fees as well as
management and performance fees in AWM, lower Auto lease income and Home Lending production revenue.",0.9999955892562866,Negative
2022,4,"RWA declined approxi mately $20
billion quarter -on-quarter, reflecting lower RWA in the Markets business which was partially offs et by an increase in lending, primarily in Card
Services.",0.701402485370636,Negative
2022,4,"Deposits were down 3% quarter -on-quarter as spend remains strong
and the rate cycle plays out, with outflows being partially offset by new relationships.",0.5783998370170593,Negative
2022,4,"Client investment assets were down 10% year -on-year, driven by market performance, partially offset by net inflows – where we are seeing
good mom entum, including from our deposit customer.",0.9994814991950989,Negative
2022,4,"Home Lending revenue was down 46% year -on-year, largely driven by lower
production revenue.",0.9999997615814209,Negative
2022,4,"And in Auto, originations were $7.5 billion, down 12%.",0.9999858140945435,Negative
2022,4,"Investment Banking rev enue
of $1.4 billion was down 57% year -on-year.",0.9999996423721313,Negative
2022,4,"IB fees were down 58%, in line with the market.",0.9999827146530151,Negative
2022,4,"In Advisory, fees were down 53%, r eflecting lower
announced activity earlier in the year.",0.9999891519546509,Negative
2022,4,"Our underwriting businesses were affected by market conditions resulting in fees down  58% for debt
and down 69% for equity.",0.9999992847442627,Negative
2022,4,"Also, note that it will be a difficult compare against last year's first quarter.",0.9999929666519165,Negative
2022,4,"Gross
Investment Banking reve nue of $700 million was down 52% year -on-year, driven by reduced capital markets activity.",0.9999998807907104,Negative
2022,4,"Deposits were down 14% year -on-year and 1% quarter -on-quarter, primarily reflecting attrition of non -operating de posits.",0.9999921321868896,Negative
2022,4,"CRE loans were up 2% quarter -on-quarter, reflecting a slower pace of growth from ea rlier in the year due to higher rates, which
impacts both originations and prepayment activity.",0.6152195930480957,Negative
2022,4,"AUM of $2.8 t rillion and overall client
assets of $4 trillion were down 11% and 6% year -on-year, respectively, driven by lower marke t levels.",0.999998927116394,Negative
2022,4,"Finally, loans were down 1% quarter -
on-quarter, driven by lower securities -based lending; while deposits were down 6% sequentially, driven by the rising rate environment –
resulting in migration to investments and other cash alternatives.",0.9999731779098511,Negative
2022,4,"NIR was a loss of $115 million and  reflects the two significant
items I mentioned earlier.",0.9998424053192139,Negative
2022,4,But it's very important to note that this NII outlook is particularly uncertain.,0.9999802112579346,Negative
2022,4,"And just to finish up on NII, as the
guidance indicates, we expect Markets NII for the year to be slightly negative as a result of higher rates, but remember, thi s is offset in
Markets NIR.",0.9995194673538208,Negative
2022,4,"Throughout my disc ussion of the outlook, I've emphasized the uncertainty in many of the
key drivers of 2023 results.",0.99998939037323,Negative
2023,1,These results included $868 million of net investment securities losses in Corporate.,0.9982490539550781,Negative
2023,1,"Regarding the deposit inflows, at the Firmwide level, average  deposits
were down 3% quarter -on-quarter while end -of-period deposits were up 2% quarter -on-quarter  – implying an intra -quarter reversal of the
recent outflow trend as a consequence of the March events.",0.9576511979103088,Negative
2023,1,"Markets was down $1.1 billion or 10%, dri ven by the
securities losses previously mentioned as well as lower IB fees and lower auto lease income on lower volume, and Market s revenue was
down $371 million or 4% year -on-year.",0.9999982118606567,Negative
2023,1,"The net
reserve build of $1.1 billion was largely driven by deterioration in our weighted -average economic outlook.",0.9999979734420776,Negative
2023,1,"Average deposits were down 2% quarter -
on-quarter, in line with recent trends.",0.9988417029380798,Negative
2023,1,"In Home Lending, revenue was
down 38% year -on-year, l argely driven by lower net interest income from tighter loan spreads and lower production revenue.",0.9999997615814209,Negative
2023,1,"Investment  Banking revenue of $1.6 billion was
down 24% year -on-year.",0.9999998807907104,Negative
2023,1,IB fees were down 19%.,0.9999747276306152,Negative
2023,1,"In advisory, fees were down
6% compared to a strong first quarter last year.",0.9999923706054688,Negative
2023,1,"Our underwriting businesses contin ued to be affected by market conditions with fees down
34% for debt and 6% for equity.",0.9999653100967407,Negative
2023,1,We expect the second quarter and the rest of the year to remain challenging.,0.9999992847442627,Negative
2023,1,"Moving to Markets, total revenue was $8.4 billion, down 4% year -on-year.",0.9999916553497314,Negative
2023,1,"Equity Markets was down 12%, driven by lower revenues in
derivatives relative to a strong first quarter in the prior year and lower client activity in Cash.",0.9999994039535522,Negative
2023,1,"Average deposits were down 16% year -on-year and 5%  quarter -on-
quarter, predominantly driven by continued attrition in non -operating deposits as well as seasonally lower balances.",0.9999933242797852,Negative
2023,1,"In Middle Market Banking, higher rates and recession concerns have decreased new loan demand and utilization, wh ich is also
leading to weakness in capex spending.",0.9999997615814209,Negative
2023,1,"CRE loans were also up 1% sequentially, with higher rates creating headwinds from both originations and prepayment s. And given
the recent focus on commercial real estate, le t me remind you that our office sector exposure is less than 10% of our portfolio and is focused
in urban dense markets; and nearly two -thirds of our loans are multifamily, primarily in supply constrained markets.",0.9998965263366699,Negative
2023,1,"And finally, loans were down 1% quarter -on-quarter, driven by lower
securities -based lending, while average deposits were down 5%.",0.9999297857284546,Negative
2023,1,"NIR was a loss of $755 million compared
with a loss of $345 million in the prior year, and  included the net investment securities losses I mentioned earlier.",0.9941595792770386,Negative
2023,1,"Expenses of $160 million
were down $24 million year -on-year.",0.999419093132019,Negative
2023,1,"Markets run -rate in t he medium -term
is well below this quarter's $84 billion, as well as below the $80 billion that is implied for the rest of the year by our fu ll year guidance; and
while we don't know exactly when this lower run -rate will be reached, when it happens, we beli eve it will be around the mid -70s.",0.9982531666755676,Negative
2023,1,"And, of course, as we mentioned last quarter, this NII outlook remains highly sensitive to the uncertainty associated with th e timing and the
extent of deposit reprice, investment portfolio decisions, the dynamics of QT and RRP, the trajectory of Fed funds, as well as the broader
macroeconomic environment – including its impact on loan growth.",0.8293852210044861,Negative
2023,2,"Markets was down $293 million , largely driven by the net investment securities losses I mentioned earlier, partially offset by a number of less
notable items primarily in the pr ior year.",0.9998408555984497,Negative
2023,2,And Markets revenue was down $772 million or 10% year -on-year.,0.9999969005584717,Negative
2023,2,"End -of-period deposits were down
4% quarter -on-quarter , as customers continue to spend down their cash buffers, including for seasonal tax payments, and seek higher -yielding
products.",0.9971753358840942,Negative
2023,2,"In Home Lending, revenue was down 23% year -on-year, driven by lower NII from tighter loan spreads and lower servicing
and production revenue.",0.9999997615814209,Negative
2023,2,"IB fees were down 6% year -on-year and we ranked
number one with year -to-date wallet share of 8.4%.",0.999921441078186,Negative
2023,2,"In Advisory, fees were down 19%.",0.9999860525131226,Negative
2023,2,"Underwriting fees were down 6% for debt and up 30%
for equity with more posi tive momentum in the last month of the quarter.",0.6394719481468201,Negative
2023,2,"However, year -to-date announced M&A is
down significantly, which will be a headwind.",0.9999927282333374,Negative
2023,2,"Moving to Markets, total revenue was $7 billion, down 10% year -on-year.",0.9999971389770508,Negative
2023,2,Fixed Income was down 3%.,0.9998637437820435,Negative
2023,2,"As expected, the macro franchise
substantially normalized from last year's elevated levels of volatility and clien t flows.",0.806576132774353,Negative
2023,2,"Equity Markets was down 20% against a very strong prior -year quarter, particularly in derivatives.",0.9999948740005493,Negative
2023,2,"Gross
Investment Banking and Markets revenue of $767 milli on was down 3% year -on-year, primarily driven by fewer large M&A deals.",0.9999988079071045,Negative
2023,2,"And finally, loans were down 1% quarter -on-quarter, driven by lower securities -based lending and deposits were down 6%.",0.9999793767929077,Negative
2023,2,"NIR was a net loss of $782 million and included the net
investment securities losses I mentioned upfront.",0.9991819262504578,Negative
2023,2,"And I should take the opportunity to remind you once again that significant sources of uncertainty remain and we
do expect the NII run rate to be substantially below this quarter's run rate at some point in the future as competition for d eposits plays ou t.
Our expense outlook for 2023 remains approximately $84.5 billion.",0.9995355606079102,Negative
2023,3,"Before we start the actual call, I want to repeat something we just said on the press call, so before  we get into the
discussions about third quarter earnings, I just w ant to say how deeply saddened we all are about the recent horrific attacks on Israel and the
resulting bloodshed and more.",0.9636775851249695,Negative
2023,3,These results included $669 million of net investment securities losses in Corporate and $665 million of Firmwide legal expense.,0.9985854625701904,Negative
2023,3,"And Markets
revenue was down $190 million, or 3% year -on-year.",0.9999929666519165,Negative
2023,3,"Given that context, the absence of detailed analysis supporting a capital increase of this magnitude is disconcerting and the re's a lot that does
not make sense to us.",0.9995772242546082,Negative
2023,3,"The GSIB was conceptually flawed and mis -calibrated
originally; since implementation, the failure to address economic growth, despite the Fed themselves acknowledging this probl em at the o utset
has made matters worse.",0.9999992847442627,Negative
2023,3,"And now, all of those problems are being applied to an additional $500 billion of RWA.",0.7519879341125488,Negative
2023,3,"And of course, given the absence of a fix to the GSIB flaws it continues to present a headwind into the indefinite futur e. And aside from
those dynamics, there remains the longstanding issue of procyclicality in the over all capital framework.",0.9999852180480957,Negative
2023,3,"End -of-period
deposits were down 3% quarter -on-quarter.",0.9984514713287354,Negative
2023,3,"In Home Lending, revenue was down 2% year -on-year, given a smaller market.",0.9999991655349731,Negative
2023,3,"Originations of $10.3 billion were up slightly quarter -on-
quarter, but they remain down 15% year -on-year.",0.9967440366744995,Negative
2023,3,"Investment Banking revenue of $1.6 billion was
down 6% year -on-year.",0.9999997615814209,Negative
2023,3,"IB fees were down 3% year -on-year, and we ranked number one with a year -to-date wallet share of 8.6%.",0.9998550415039062,Negative
2023,3,"In Advisory,
fees were down 10%.",0.9999853372573853,Negative
2023,3,"Advisory has also picked up compared to the first half,  but year -to-date announced M&A remains down significantly, which will
continue to be a headwind.",0.9999963045120239,Negative
2023,3,"Moving to Markets – total revenue was $6.6 billion, down 3% year -on-year, against a very strong third quarter last year.",0.999994158744812,Negative
2023,3,"Equity Markets was down 1 0%,
reflecting lower revenues across products compared to a strong prior -year quarter, as activity was challenged by lower volatility.",0.9999980926513672,Negative
2023,3,"Average deposits were down 7% year -
on-year, 5% quarter -on-quarter, primarily driven by lower non -operating deposits as clients opt for higher yielding alternatives.",0.999849796295166,Negative
2023,3,"Finally, loans were flat quarter -on-quarter, while de posits were down 5%, driven by migration to investments,
partially offset by client inflows.",0.9846934080123901,Negative
2023,3,"And NIR was a net loss of $506 million and included the
net investment securities losses I mentioned upfront.",0.997445821762085,Negative
2023,3,"Throughout the year we've been pointing out the various
sources of significant uncertainty in all of those, including the geopolitical situation, economic outlook, rate environment,  deposit reprice a nd
the impact of the Basel III Endgame proposal are as prominent now as they have been in the recent past.",0.9996845722198486,Negative
2023,4,"These
results included the $2.9 billion FDIC special assessment and $743 million of net investment securities losses in Corporate.",0.9997019171714783,Negative
2023,4,"The net re serve build
was primarily driven by loan growth in Card and a deterioration in the outlook related to commercial real estate valuat ions in the Commercial
Bank.",0.9999305009841919,Negative
2023,4,"Equity Markets was down 8%, driven by lower revenue in Derivatives and Cash.",0.9999982118606567,Negative
2023,4,"Average deposits were down 6% year -on-year, primarily
driven by l ower non -operating deposits as clients continued to opt for higher yielding alternatives and flat quarter -on-quarter as client balances
are seasonally higher at year -end.",0.9917687177658081,Negative
2023,4,Loans were down 1% quarter -on-quarter.,0.9997585415840149,Negative
2023,4,"C&I loans were down 2%, reflecting lower revo lver utilization and muted demand for new loans as
clients remain cautious.",0.999997615814209,Negative
2023,4,"Finally,
credit costs were $269 million, including net charge -offs of $127  million and a net reserve build of $142 million, driven by a deterioration in our
commercial real estate valuation outlook.",0.9999997615814209,Negative
2023,4,"The decrease in NII reflects lower deposit margins and balance s, partially offset by wider
spreads on loans.",0.99992835521698,Negative
2023,4,Corporate reported a net loss of $689 million.,0.9998290538787842,Negative
2023,4,"NIR was a net loss of $687 million,
compared with a net loss of $115 million and included the net investment securities lo sses I mentioned upfront.",0.9699071645736694,Negative
2023,4,"On deposits, we
expect balances to be very modestly down from current levels.",0.9830012321472168,Negative
2023,4,"While lower rates sho uld decrease repricing pressure, we remain asset
sensitive, and therefore, lower rates will decrease NII, resulting in more normal deposit margins.",0.6369575262069702,Negative
2023,4,"Outside of Card, loan growth will
likely remain muted.",0.9999969005584717,Negative
2023,4,"Combining that with the ful l year guidance of
approximately $88 billion implies meaningful sequential quarterly declines throughout 2024 consistent with what we've been telling you for
some time.",0.9999698400497437,Negative
2023,4,And keep in mind that many of the sources of uncertainty that we've highlighted previously surrounding the NII out look r emain.,0.9970102310180664,Negative
2023,4,"Net net, First Republic produces a modest increase in expenses, but with a significantly lo wer 2024 exit run
rate as the result of business integration efforts.",0.3742627203464508,Negative
2023,4,"Finally, despite significantly l ower inflation outlook and the economy as a whole, we still see
some residual effects of inflation flowing through most of our expense categories.",0.9050124883651733,Negative
2023,4,"On credit, we continue to expect the 2024 Card net charge -off rate to be below 3.5%,
consistent with Investor Day guidance.",0.732395350933075,Negative
2023,4,"At the same time, w e emphasized throughout 2023 the extent to which we were over -earning, as indicated by
an ROTCE that is 4% above our through -the-cycle target.",0.9655674695968628,Negative
2023,4,"As we turn to 2024, it shouldn't be surprising that our outlook has us beginning to march down the path towards normalization of our returns.",0.9033331274986267,Negative
2024,1,"And Markets revenue was down
$400 million or 5% year -on-year.",0.9999958276748657,Negative
2024,1,"I n Banking & Wealth Management, revenue was down 4% year -on-year, reflecting lower NII on lower deposits with
average balances down 7%, as our CD mix increased.",0.999998927116394,Negative
2024,1,"In Advisory, fees
were down 21%, driven by fewer large completed deals.",0.9999986886978149,Negative
2024,1,"Payments revenue was $2.4 billion, down 1% year-on-year, as deposit margin normalization and deposit -related
client credits were largely offset by higher fee -based revenue and deposit balances.",0.9999901056289673,Negative
2024,1,"Moving to Markets, total revenue was $8 billion, down 5% year -on-year.",0.9999939203262329,Negative
2024,1,"Fixed income was down 7%, driven by lower activity in Rates and
Commodities compared to a strong prior -year quarter, partially offset by strong results in Securitized Products.",0.9999942779541016,Negative
2024,1,"Expenses of $7.2 bi llion were down 4% year -on-year, predominantly
driven by lower legal expense.",0.9942843317985535,Negative
2024,1,"Payments revenue of $1.9 billio n was down 2% year -on-year, driven by lower deposit margins and balances, largely offset by fee growth net
of higher deposit -related client credits.",0.999998927116394,Negative
2024,1,"Average deposits were down 3% year -on-year, primarily driven by lower non -operating deposits and down 1% quarter -on-quarter, reflecting
seasonally lower balances.",0.9998884201049805,Negative
2024,1,"C&I loans were down 1 %, reflecting muted demand for new loans as clients
remain cautious.",0.9999969005584717,Negative
2024,1,Revenue of $4.7 billion was down 1% year -on-year.,0.9999996423721313,Negative
2024,1,"And finally, loans were down
1% quarter -on-quarter and deposits were flat.",0.998166024684906,Negative
2024,1,NIR was a net loss of $188 million.,0.9992125034332275,Negative
2024,1,"The current  quarter included net investment securities losses of $366 million compared with net securities losses of $868 million in the prior
year quarter.",0.9808258414268494,Negative
2024,1,"Our total NII guidance remains approximately $ 90 billion, which implies a decrease in our Market s NII
guidance from around $2 billion to around $1 billion.",0.999987006187439,Negative
2024,1,"And on
credit, we continue to expect the 2024 Card net charge -off rate to be below 3.5%.",0.9831886887550354,Negative
2024,2,Also included is $546 million of net investment securities losses in Corporate.,0.9968696236610413,Negative
2024,2,"In Banking & Wealth Management, revenue was down 5% year -on-year, reflecting lower deposits and deposit margin
compression, partially offset by growth in Wealth Management revenue.",0.9999972581863403,Negative
2024,2,"Average deposits were down 7% year-on-year and 1% quarter -on-
quarter.",0.9997027516365051,Negative
2024,2,"And in Auto, originations were
$10.8 billion, down 10% coming off strong originations from a year ago, while continuing to maintain healthy margins.",0.9998451471328735,Negative
2024,2,"Payments revenue was $4.5 billion, down 4% year -on-year, as deposit margin compression and higher deposit -related client credits were
largel y offset by fee growth.",0.9999997615814209,Negative
2024,2,"Demand for new loans remains muted as middle market and large corporate clients remain somewhat cautious due to the economic
environment, and revolver utilization continues to be below pre -pandemic levels.",0.9999983310699463,Negative
2024,2,"In CRE, higher rates continue to suppress both loan origination an d pay -off activity.",0.9998610019683838,Negative
2024,2,"Excluding Foundation contribution, expenses were down $573 million year -on-year, largely as a result of moving First Republic -related
expense out of Corporate into the relevant  segments.",0.9831101894378662,Negative
2024,3,"CCB reported net income of $4.0 billion on revenue of $17.8 bil lion, which was
down 3% year -on-year.",0.9999996423721313,Negative
2024,3,"In Banking & Wealth Management, revenue was down 11% year -on-year, reflecting deposit margin compression and
lower deposits, partially offset by growth in Wealth Management revenue.",0.9999991655349731,Negative
2024,3,Average deposits were down 8% year -on-year and 2% sequentially.,0.999798595905304,Negative
2024,3,"We're seeing a slowdown in customer yield -seeking activity including in CD volumes and expect deposits to be relatively flat for the remainder
of the year.",0.9904511570930481,Negative
2024,3,"Expenses of $8.8 billion were down 1% year -on-year, with lower legal expense predominantly offset by higher revenue -related compensation
and growth in employees, as well as higher technology spend.",0.9380967020988464,Negative
2024,3,Average Banking & Payments loans were down 2% year -on-year and down 1% sequentially.,0.9998422861099243,Negative
2024,3,"In the middle market and large corporate client
segments we continue to see softness in both new loan demand and revolver utilization in part due to clients’ access to rec eptive capital
markets.",0.9999927282333374,Negative
2024,3,"In multi -family, while we are seeing encouraging signs in loan originations as long -term rates fall, we expect overall growth to remain
muted in the near term as originations are offset by payoff activity.",0.9996966123580933,Negative
2024,3,Expenses of $589 million were down $107 million year -on-year.,0.9997581839561462,Negative
2024,4,"Markets was down $548 million or 2%, driven by the impact of lower rates and the associated deposit margin
compression, as well as lower deposit balances in CCB, largely offset by the impact of securities reinvestment, higher revolving balances in
Card and higher wholesale deposit balances.",0.9994528889656067,Negative
2024,4,Expenses of $22.8 billion were down $1.7 billion or 7% year-on-year.,0.999125063419342,Negative
2024,4,"The $24 billion decrease in RWA reflects a seasonal decline in Markets activity and lower wholesale lending, which
was predominantly offset by a seasonal increase in Card.",0.9994600415229797,Negative
2024,4,"In Banking & Wealth Management, revenue
was down 7% year-on-year on deposit margin compression and lower deposits, partially offset by growth in Wealth Management revenues.",0.9999979734420776,Negative
