question_order,question_answer_group_id,speaker,role,company,content,year,quarter,content_type,score,label
15,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. So there are definitely still opportunities to optimize. We're continuing to work very hard and it's a big area of focus. Some of that is
reflected in this quarter's numbers, but some of the other drivers of this quarter are what you might call more passive items , particularly in
market risk RWA. And yeah, but we shou ld be clear that although we've said that the effects of capital optimization are not a material
economic headwind for the company, they're also not zero. There are real consequences due to the choices that we're making as  a result of
this capital environm ent. And in a Basel III outcome that is unreasonably punitive from a capital perspective, there will be additional
consequences  that we obviously are hoping that's not the case and believe that it's not appropriate, but we'll see what happens.",2022,4,answer,0.5493262410163879,Negative
20,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"No. I think it's the same. You have the Apples who are basically doing a lot of banking services and Walmar t starting theirs. And obviously,
higher rates will hurt some of the folks in the fintech world and maybe even help some of the folks. So we expect tough compe tition going
forward.",2022,4,answer,0.9997636675834656,Negative
25,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,It was a gain last year. It wasn't a write -down this year.,2022,4,answer,0.47987860441207886,Negative
30,0,Gerard Cassidy,Analyst,RBC,"That's correct, Jeremy. And just in terms of any lending, obviously, so many of these companies have seen their valuations co me down
considerably. Is there any elevated risk lending to some of these companies considering the struggles  they're having?",2022,4,question,0.6129294037818909,Negative
34,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,Oversimplifying.,2022,4,answer,0.9601354002952576,Negative
61,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Sure. Thanks, Steve. So, let's do Banking first. So, I think the thing that's interesting about banking  right now is that the declines have been so
significant, obviously from very elevated levels, but even relative to just 2019, 2022 was a relatively weak year. And as we look into 2023, it's
possible that the actual economic environment will be worse than it was in 2022. So, that could conceivably make you pessimistic about the
Investment Banking wallet outlook. And to be sure, it's not as if we're super optimistic.
But it's important to note that part of the issue here is how quickly things changed in 202 2, specifically with respect to rates, as that affects the
debt business and valuations as it affects M&A and ECM as well. And one of the sort of necessary conditions for people to do deals or decide
to raise capital is just getting comfortable with valuat ions in the open market. So, I think there's a chance that that actually winds up helping in
2023 in the Investment Banking wallet. Of course, we don't know, but those are some of the things that we're thinking about.
Jeremy Barnum
Chief Financial Officer , JPMorgan Chase & Co.  A
Similarly, on the Markets side, obviously Markets had another very strong year, better than we'd expected. Since the numbers were so strong
coming out of the pandemic, we were expecting more normalization than what we actually saw . And 2022 had a lot of themes. I think the
active management community did well. That always helps us a little bit. And we had volatility with relatively orderly and continued Markets .
As we look towards 2023, maybe some of those themes will be a little bit less obvious and that could be a little bit of a headwind. But on the
other hand, it's not like the volatility is going away, and Markets seem to continue to be quite orderly. And a 4.5%, 5% rate  environment is
probably one where there's more tr ading opportunities than a 0% rate environment.
So, of course, we don't know. We'll see. I think you would have to probably expect some normalization there. The numbers are really very
strong in Markets. But we'll see. We'll see what happens.",2022,4,answer,0.6280593276023865,Negative
6,0,Steven Chubak,Analyst,Wolfe Research,...elevated macro uncertainties.,2023,1,question,0.9999967813491821,Negative
2,1,John McDonald,Analyst,Autonomous Research,"Okay. And then I wanted to ask Jamie – there's a narrative out there that the industry could see a credit crunch – banks are going to stop
lending, even Jay Powell mentioned that as a risk. Do you see that in terms of anything you look at in terms of lending and i s that a reaction
that makes sense – that banks might be retrenching a lot here? Do you worry about that for the economy in terms of credit crunch? Thanks.",2023,1,question,0.69642573595047,Negative
16,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. And we always say, right, we underwrite through the cycle. And I think notably, we didn't loosen our underwriting standards when all the
numbers looked crazy good during the pandemic, and we're not going to overreact now and tighten unreasonably. Some of that co rrection
happens naturally – credit metrics deteriorate for borrowers whether in consumer or wh olesale, and that might make them leave our pre -
existing risk appetite, but we're not running around aggressively tightening standards right now.",2023,1,answer,0.9844110012054443,Negative
0,2,Ebrahim Poonawala,Analyst,Bank of America,"Hi, good morning. I guess, maybe one question, Jeremy. You reminded us of the relatively low office exposure for JPM. But, ob viously, you're
big players in the CRE market. Just give us a sense of when you look at t he two pressure points on CRE, one, how much is oversupply – and
that probably goes beyond office into apartments – how much of a issue is oversupply in the market as we think about the next few years
going into a weakening economy? And how much of a risk is higher for longer rates in that if the central banks can't cut rates in the next year
or two, we will see a ton of more pain because of the re -fi wall that's coming up?",2023,1,question,0.737910807132721,Negative
2,2,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Can I just add also, housing is in short supply in America. It's not massively oversupplied like you saw in 2008.",2023,1,answer,0.9800563454627991,Negative
4,2,Ebrahim Poonawala,Analyst,Bank of America,"And just as a follow up, I think the other risk from higher for longer rates, I think, is this – the ability of the economy, the financial markets to
sustain a 5% less Fed fund for a long period of time? Like, what are the other areas you're watching if du ration mismatch and bank balance
Ebrahim H. Poonawala
Analyst, Bank of America Merrill Lynch  Q
sheets being one, CRE market being one, are you worrying – worried about non -banks that have grown exponentially over the last decade in
terms of risks at the non -banks if rates don't get cut? And if you can talk to the transmission mechanism of that coming back and hitting banks
given the leverage that banks provide to the non -banks.",2023,1,question,0.6266700625419617,Negative
9,2,Mike Mayo,Analyst,Wells Fargo,"All right. And then one for you, Jamie. I guess taking the 10,000 foot level, I guess, when  you look at asset liability management, or ALM – you
could call this nightmare on ALM street, and you've seen some big problems at banks, and I guess how would you evaluate yours elf, I guess,
with this $7 billion higher NII guide? It probably is good, but  to what degree are you willing to sacrifice JPM shareholder money to help rescue
problem banks that did not get their asset liability management correctly?",2023,1,question,0.7370504140853882,Negative
18,2,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Betsy, did we just lose you? I feel like you just dropped.",2023,1,answer,0.9977439641952515,Negative
29,2,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, Betsy, we really don't have any new information there, right? I mean, I think clearly if you go back like a year, we we re maybe a little bit
more optimistic that it might be across all the different levers a nd all the different pieces of it, closer to capital neutral. I think now it feels like
it’s likely to be worse than that. Hopefully, it’s not too much worse than that. And I would just remind you that there are a  lot of different levers,
so when the NPR c omes, that's only going to be a part of it, there's going to be other pieces – the holistic review. And it's going to take a lot of
time to phase in and we're going to have time to adjust. So we'll know when we know.",2023,1,answer,0.994838535785675,Negative
31,2,Jamie Dimon,CEO,JP Morgan Chase & Co.,"And there were supposed – I just remembered, there were supposed to be pauses in there about how they looked at banks relative to the
global economy, which are getting smaller. The G -SIFI was supposed to be adjusted for  that. So, it may very – we're expecting it go up, but
there are a lot of reasons why it shouldn't go up. And JPMorgan – there's so much capital. I mean, so you can't look at JPMorgan and say,
well, it's a capital issue. And even the banks, by the way, whe n you look at it – even though some of the banks that are in trouble, they have
plenty of capital. Their issue wasn't capital, it was other things. And so I'm just hoping regulators are very thoughtful.
And the other thing is they should a priori decide what they want out of the banking system at this point because I've made it clear – I can look
at the banking system and say that no bank should keep a loan, if possible. That's how much capital is now being required for  loans.",2023,1,answer,0.5270695090293884,Negative
48,2,Matt O’Connor,Analyst,Inc.,"Okay. And then just separately to squeeze in – you guys took some securities losses again this quarter. And in the past you've talked about
really just going security -by-security looking for, kind of, pricing opportunities. Is that kind of what drove it again this quarter, or is there some
kind of broader, overarching…",2023,1,question,0.5559645295143127,Negative
2,0,Jim Mitchell,Analyst,Seaport Global,"Okay. But I guess just one follow -up on that. Just if we don't get rate cuts till middle of next year or later, does that sort of give some
confidence to the outlook for next year or are you still worried about significant reprice?",2023,2,question,0.824335515499115,Negative
16,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"It's unlikely, obviously. That would be an unlikely outcome.",2023,2,answer,0.9994634985923767,Negative
6,1,Ebrahim Poonawala,Analyst,Bank of America,"Good morning. I guess just first question, following up on the outlook for the economy. Like, we've all been worried about the recession for a
year and there's a debate about the lagged effects of the Fed rate hike cycle. When you think about – Jeremy, I think you mentioned your
unemployment outlook relatively similar today versus a quarter ago – how worried shou ld we be in terms of the credit cycle 6 to 12 months
from now? Or are you leaning towards concluding that maybe U.S. businesses, consumers have absorbed the rate cycle a lot bett er than we
expected a year ago?",2023,2,question,0.6750422716140747,Negative
20,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Mike, let me get this right. You're actually complaining that our expenses aren't high enough? Is that right?",2023,2,answer,0.5887995362281799,Negative
30,1,Steven Chubak,Analyst,Wolfe Research,"Helpful color, and just a follow -up on Card income. Revenues were muted in the quarter. I was hoping you could unpack just the sources of
pressure. Maybe more specifically, how much of a drag is associated with FAS 91 versus some other factors.",2023,2,question,0.9977915287017822,Negative
31,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. So actually, that Card income number, Steve, is a little bit of a one -off thing. So we had a reward liability  adjustment this quarter, kind of
a technical thing, so that's just a temporary headwind. And also, the sequential comparison is also getting hurt by a small p ositive one -off item
in the prior period. And obviously, I know you guys looked at it, but Card i ncome isn't sort of a thing we look at that much ourselves.",2023,2,answer,0.9774036407470703,Negative
36,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Sure. So, look, on pricing power, you're right – it really depends on the product and it depends on the competitive landscape across different
banks, and so it's very granular, it's very product -specific and in some cases we'll have more pricing power than in other cases. I think the
overall point that we're trying to make in connection with Basel III Endgame is just that like we think the capital increases  are excessive and it
puts pressure on retu rns all else equal, that obviously puts pressure on us to increase price where we can. That is generally a bad thing for the
real economy and how all that plays out in detail across different products and services remains to be seen, importantly sinc e we d on't actually
have the proposal yet – so we need those details. And sorry, Glenn I forgot the second half of your question. What was it?",2023,2,answer,0.8804213404655457,Negative
37,1,Glenn Schorr,Analyst,Evercore,"Actually, I think you hit on it so I'll just do a follow -up on a related. So the notion of private credit doing large traditional investment -grade
lending activity is maybe part of the competitive landscape that limits the ability to push price. In Jamie's letter, you tal ked about the downside
– or my question is what's the downside if more of the mortg age credit asset -backed intermediation business is pushed out of the banking
system?",2023,2,question,0.769274115562439,Negative
38,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"I mean, I guess it depends on what you mean by downside. But I just think societally speaking, I think we've seen in recent history that when
home lending is happening outside the regulated perimeter and things get bad, when you have economic downturns, it produces b ad
outcomes for individuals and homeowners and society as a whole, and Jamie has written about this extensively. Beyond that, financially,
we've talked about how mortgage lending – I mean, the profitability swings obviously is reasonably cyclical and the recent past has actually
been very profitable, then it was less so. Like, the correspondent channel right now is a ctually picking up a little bit. But it's a thin -margin
business, it's challenging. And when you increase the capital requirements, it makes it even harder so that just becomes one of the areas
where you're in that tension between remixing versus pricing p ower that we talked about a second ago.
And it might, in fact, mean that we do less – less credit available for homeowners and more regulatory risk as the activity moves outside the
perimeter.",2023,2,answer,0.9315611124038696,Negative
46,1,Betsy L. Graseck,Analyst,Morgan Stanley & Co.,"Okay. And so, is it fair for me to think about that change as a mark -to-market to where we are today? And when I think about your forward
guide here, longer -term you're saying, look, deposit betas are accelerating. So as I go through the 10 -Qs over the next four, five quarters, I
should expect that that $2.5 billion should come down because deposit betas you're anticipating are going to be acceler ating from here? I'm
just trying to put those two things together.",2023,2,question,0.5399830937385559,Negative
56,1,Matt O’Connor,Analyst,Inc.,"Good morning. So I'm in your camp that eventually consumers will want more deposit rate sensitivity here. But I guess what wo uld make you
change your rates meaning fully? So the top two banks have about 50% consumer market share, loan -to-deposit ratios are low. Your outlook
for loan growth, and I think others, is fairly sluggish, at least outside of Card. I get that it's common sense, and that's w hat we've seen
histo rically. But there really is this kind of big divergence among big banks and everybody else where the big banks just don't ne ed to pay that
much for deposits for a slew of reasons. So what would make you change that?",2023,2,question,0.9986238479614258,Negative
1,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Sure. Thanks, John. I think the themes are pretty much the same as we've seen in prior quarters. So, as we talked a little bi t about on the
press call, we've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable and we do think
that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future. A nd, of course, that hasn't
happened yet this year, so that's one factor.
In the meantime, the CD strategy is working well. We're getting – continue to get very good feedback from the field and we're capturing money
in motion, and so we're seeing the sort of internal migration and the associated slow increase in deposit rate paid as a result of CD migration.
But that’s sort of working as we would have hoped and so everything is kind of playing out according to plan, I would say.
In terms of higher -for-longer, I think it just means that there will continue to be upward pressure on deposit pricing both from internal migration
and possibly moderate effects. And in the end, as we always say, we’re going to price products as a function of the competiti ve market
environment.",2023,3,answer,0.9152216911315918,Negative
18,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Sorry, I'm just getting a correction in the room. I meant to say trillion.",2023,3,answer,0.9611790180206299,Negative
57,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"You want to start? Okay. So, I mean, on green shoots, you'll just note that our comments are cautious. I mean, there is momen tum. I do think
we are a little bit more optimistic than we were, but obviously, markets have bee n bumpy, both equity markets and rate markets have been
very whippy recently. So we don't want to get too carried away with optimism here. We are coming in off a very low base and s o there's a
hope and an expectation that we are on the path to normalizatio n and improvement. And of course, the overall economic picture at least
currently looks solid, this sort of immaculate disinflation trade is actually happening. So those are all reasons to be a lit tle bit optimistic in the
near-term, but it's tempered with quite a bit of caution.",2023,3,answer,0.9194144606590271,Negative
58,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"So I would add a question. There has been an extraordinary amount of fiscal monetary stimulus still in the system, and you can't look at, and
of course, it can drive markets in sentiment and sales and profits and all that, but you can't stay like this forever. Betwee n QT, if you never had
and how much the fiscal stimulus could continue at this rate before you h ave kind of the crowding out kind of factor. So I think people have to
be very cautious, and of course, the geopolitics I think is just an extraordinary issue we have to deal with. How do you prep are the company
for that?
We do 100 stress tests a week, an d we do multiple views of it, including geopolitical problems, interest rate problems, but usually, geopolitics
presents itself as a deep recession or a mild recession, or a recession part of the world, or markets going down a lot, and b ecause markets do
well is not a reason, ever, to say that they are going to continue to do well.
If you don't believe me, remember 1987, 1990, 1994, the year 2000, the year 2009, and people don't predict those inflection p oints. But my
caution is that we are facing so many uncertainties out there. You just got to be very cautious with what you're facing. And like I said, the other
thing about the green shoots, regardless of that, we try to run the company so that we serve the clients day in and day out, better products and
better services, securely, safely, and all those things, so that's the ultimate goal.
We know there are going to be bad times. That's not a surprise that there are going to be bad times. We don't always know how they're
coming, and where they're coming fro m, but we'll keep on serving clients and doing good for clients, you can build a good business kind of
separate from what it does to your returns. That's a slightly different issue at this point, but we'll deal with that too whe n we figure out what to
do.",2023,3,answer,0.9676887392997742,Negative
69,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. Now because you did ask a little bit about the expense outlook for next year. So I think at the conference we said, I think the consensus
was $88 billion, but we're still going through the budget process, et cetera, et cetera. So that's still true. I think we're still kind of in the ballpark,
but I would say at the margin there's going to be a li ttle bit of upward pressure.",2023,3,answer,0.9947203397750854,Negative
71,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, this is all now including First Republic. And I think there will be a little bit of upward pressure on t hat as we sort of do our usual thing and
look at all of the opportunities that we see and the investments that we want to make. So no surprise in that sense that we'r e going to invest
prudently. Nothing dramatic, but probably a little bit of upward pressur e at the margin.",2023,3,answer,0.7060490846633911,Negative
76,0,Jim Mitchell,Analyst,Seaport Global,"Okay. And then if it weren't to change, and you talked about the potential negative impact on liquidity in the Markets busine ss specifi cally, is
that a JPM pulling out of certain businesses type event? Or is it more a comment that there'd be fewer providers of liquidity  as less scaled
players exit, and maybe that's almost equal a market share gain opportunity for JPMorgan in a smaller bus iness?",2023,3,question,0.7951200604438782,Negative
81,0,Matt O’Connor,Analyst,Inc.,"Hi, good morning. You talked about increased investment spend in some areas in response to an earlier question. But just how do you think
about cost control overall, looking at the medium term? The outlook for revenue is obviously pressured at least on net interest inc ome. Fees
might help, but the backdrop is for potentially declining revenue or at least flattish revenue for a couple or few years.  So, I know you always
say you want to invest for the cycle, and it's really paid off over time, but how are you thinking about cost control the nex t few years?",2023,3,question,0.5332189798355103,Negative
16,0,Ebrahim Poonawala,Analyst,Bank of America,"And maybe just taking that a step further, there has been concern around whether we see some of the CRE pain filter into multi -family
apartments. You all have a pretty large multi -family exposure, high quality. But just give us a sense of, one, are you seeing any bleed -through
of what we've seen in office in  other areas of commercial real estate or any particular parts of C&I lending? Thank you .",2023,4,question,0.9838584065437317,Negative
23,1,Manan Gosalia,Analyst,Morgan Stanley & Co.,"Great. And on the flip side, in C&I, you spoke about lower revolver utilization, more muted demand. What would it take for th at to rebound? Do
you think it accelerates from here if rates come down or is there room for this to slow eve n further if the capital markets open up even more ?",2023,4,question,0.8626184463500977,Negative
24,1,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah. It's a good question. I mean, I think as you say, it's a little bit of a – I mean, I wouldn't necessarily say that, like, lack of debt market
access in the last year, that was more of an earlier effect in terms of having that drive revolver utilization. I think the main driver the re is just a
little bit of residual anxiety in the C -suite, which increases as the companies get smaller in size.
So, it's really going to be a function of how 2024 plays out. The softer the landing is, the more supported the utilization should be, I woul d
think. If things turn out a little bit worse, I think management teams are going to be incrementally more cautious about CapE x and so on, and
so you might see utilization even lowe r.",2023,4,answer,0.9975951313972473,Negative
34,1,Charles W. Peabody,Analyst,Portales Partners,"Just to make sure I understood what you're saying, so you have NII ex. Markets going from $94 billion to $88 billion. Within that, would the
contribution from First Republic be down as well or up ?",2023,4,question,0.9503830075263977,Negative
4,1,Jamie Dimon,CEO,JP Morgan Chase & Co.,Which we know are going to be wrong .,2024,1,answer,0.8642784357070923,Negative
