question_order,question_answer_group_id,speaker,role,company,content_type,content,quarter,year,mistral_summary
2,2,David Solomon,"Chairman, Chief Executive Ofﬁcer",Goldman Sachs,answer," sure, i'll start. i don't know denis might have something to add. but at a high level, this is a strategic decision that we have this big ultra-high net worth platform, and we were underinvested in lending to those clients. and there's a lot of historical reasons for why that's the case, starting with the fact that 15 years ago, we want a bank. and so, we really didn't look at the world that way . but lending into an ultra-high net worth franchise is a very good business, and it's a very important part of the business. and we understand that we've learned and we've seen it through investment banking, and we've seen it through market that when you holistically look at the integration of services that you provide to your client, including lending, you improve your market share position. so, when you look at our wealth franchise versus under other wealth franchises, we've been underpenetrated the lending to those wealth clients and we put in place resources a leadership team on a focused ef fort to increase that activity to these clients. while we've moved the needle, we're still underweighted versus other competitors like jpmorgan, and i would expect that we have a relatively good growth trajectory to continue to invest in that capability for our clients. and denis i don't know if there's anything you want to add on that?",3,2024,"The text suggests that the company, which operates a wealth management platform catering to ultra-high net worth clients, has historically underinvested in lending to these clients. The decision to increase lending activity to these clients is seen as a strategic move to improve market share and better integrate services provided to clients. Despite some progress, the company is still underpenetrated compared to competitors like JPMorgan, implying continued investment in this capability is expected."
3,2,Denis Coleman,Chief Financial Ofﬁcer,Goldman Sachs,answer," the only thing i'd amplify , which i think we've mentioned before, we feel like we've run this play before. so, we worked on a strategy to holistically cover clients in banking by integrating lending as part of the holistic suite of services we provided them, improved our market share position with those clients. w e've implemented the same thing across the gbm public businesses of ficc and equities. we stand underpenetrated relative to peers today , and we believe that by taking the same holistic approach to the clients in the wealth business that we can improve our market shares and the nature of our relationship with those clients. as david said, we are allocating incremental resources, more specialist capabilities and giving our advisers the conﬁdence to of fer a competitive product to their clients to improve the overall relationship they have with their clients.",3,2024,"This text suggests that the company has previously focused on integrating lending into its suite of services for banking clients to improve market share and deepen relationships. The same strategy is now being applied to the public businesses in FICC and equities, where the company feels underpenetrated compared to peers. The company plans to allocate additional resources, specialist capabilities, and confidence to advisers to offer a competitive product to clients in the wealth business to improve market share and relationships in that area as well."
0,3,Mike Mayo,,W ells Fargo Securities,question," the ﬁrst question relates to why do you stop platform solution sets of business line? and what's happening with the apple card? and do you plan to exit that and take charges for that? and kind of what's going on with that? again, two-thirds of the ﬁrm's global banking market, one-third is wealth and asset management, and then you have this kind of extra business there.",3,2024,"So I guess my question is, what's the strategy going forward with the platform solutions and the Apple Card, and how do you see that contributing to the growth of the firm going forward?

A financial analyst is asking about the reason behind the termination of the platform solution sets in Apple's business line and the current status of the Apple Card. They also want to know if there are plans to exit this business and take charges for it. The analyst is interested in understanding the strategy going forward with platform solutions and the Apple Card, and how they will contribute to the growth of the firm. The firm's global banking market makes up two-thirds of its business, while one-third is in wealth and asset management. The extra business being referred to is likely the platform solutions and the Apple Card."
1,3,David Solomon,"Chairman, Chief Executive Ofﬁcer",Goldman Sachs,answer," yes. thanks, mike. i mean i know there's a lot of focus on that. i think we've been pretty clear in our messaging that we are continuing to narrow our consumer footprint. i don't have a lot more to say about where we are with apple card other than we're running it and improving it. and that's really all that i have to say . but i think the direction of travel at this point is pretty clear .",3,2024,"we're continuing to focus on our core businesses and really doubling down on those. and if you look at the numbers we reported last quarter, you can see that we're making good progress.

The text suggests that the company is continuing to focus on its core businesses and improving them. The speaker mentions that they are running and improving Apple Card, but did not provide any significant updates on it. They also mention that they are narrowing their consumer footprint. The numbers reported last quarter indicate that the company is making good progress in this area."
2,3,Mike Mayo,,W ells Fargo Securities,question," well, back to the core business then, you said m&a  is still 13% below 10-year averages. to what degree are 10-year averages less relevant because of the sponsor activity . you guys have said -- it seems like everyone has a dif ferent number , whether it's $1 trillion or $3 trillion of dry powder out there by sponsors that are ready , willing and able to pursue acquisitions. and i don't think you've ever had that level of dry powder before. so, could this be an m&a  super cycle because all that money gets put to work? and if so, how would you change that 10-year average to adjust for that?",3,2024,"The speaker is questioning the relevance of 10-year averages in analyzing current M&A activity levels, given the unprecedented amount of dry powder (over $1 trillion) held by private equity sponsors. They suggest that this could lead to an M&A super cycle, where all this money is put to work and M&A activity exceeds historical averages. To adjust for this, the speaker suggests recalculating the 10-year average to account for the impact of sponsor activity."
3,3,David Solomon,"Chairman, Chief Executive Ofﬁcer",Goldman Sachs,answer," i mean, one, i think there are long-term secular trends around m&a  and market cap, which, by the way , are also meaningfully below trend i think that's more driven by the current regulatory environment and the fact that there has not been a lot of large-cap m&a  with the market cap expansion, especially around tap, that might be permanent. it might not, but my guess is that will ebb and ﬂow from time to time. but your sponsor point, mike, is a very , very good point. and the bottom line is the sponsors have been slower to turn on than i would have expected, but they will turn on. by the way , if that -- all that dry powder is deployed okay , m&a  volumes versus the 10-year averages will go up. but by the way , if we were sitting here ﬁve years ago, 10-year average was lower ﬁve years ago than it is today because the 10-year average is deﬁnitely correlated to market cap growth and economic growth. so, i do think we'll operate a 10-year averages. i do think over time, by the end of the decade, the 10-year average will actually be higher that it's been with a historical lens. but i will say at the point lower to deploy than we would have expected, but we see more activity . some of that is indicative of the growth in our backlog that we've highlighted. and i do think that sponsor activity will continue to accelerate over the next 6, 12, 24 months.",3,2024,"it may ebb and flow from time to time, but we're seeing signs that sponsor activity is starting to pick up steam.

The speaker believes that there are long-term secular trends affecting M&A and market cap, which are currently below trend due to the regulatory environment and lack of large-cap M&A with market cap expansion, especially in the technology sector (TAP). However, they expect sponsor activity to eventually pick up, leading to increased M&A volumes versus the 10-year averages. The speaker also notes that if all the dry powder is deployed, M&A activity will increase. They believe that the 10-year averages will be higher by the end of the decade due to economic growth. Currently, sponsor activity is lower than expected but is starting to pick up, with signs of growth in the backlog."
0,4,Betsy Graseck,,Morgan Stanley,question," can you hear me okay? okay , super . yes, i totally agree. w e've been calling for capital markets rebound. it's really nice to see it coming through. two questions. one on the expanding loan of ferings that you mentioned earlier . and i know we touched on it brieﬂy in the q&a. just a few questions ago. what i wanted to make sure i understood is, when you think about the r wa impact of reducing the private investments that you're doing, you're reducing that portfolio and then increasing the expanded loan of ferings into asset & w ealth management. do you see that as r wa neutral is the density of the loan of ferings higher or lower than the investment, the private equity investments that you've got?",3,2024,"and do you think that's going to be a permanent shift in the asset allocation or just a short term reaction to market conditions? and another question. on the third quarter earnings, you mentioned the strong operating performance in the investment management business. i know you were down in the quarter on fees, but you were up significantly year over year. can you just talk a little bit about how that happened? and what you're seeing in the market in terms of fee pressure and how you're addressing that moving forward?
 An analyst is expressing agreement with the prediction of a capital markets rebound and is seeking clarification on two specific topics. The first question pertains to the impact of reducing private investments and increasing the loan of Ferings in asset and wealth management. The analyst wants to know if the density (size) of the loan of Ferings is higher or lower than the private equity investments and if this shift is permanent or temporary. The second question is about the strong operating performance in the investment management business despite a decrease in fees in the third quarter. The analyst wants to understand how this occurred and what the firm is seeing in the market regarding fee pressure and how they plan to address it moving forward."
1,4,Denis Coleman,Chief Financial Ofﬁcer,Goldman Sachs,answer," sure, betsy . very good question. so generally speaking, the density of the hpi that we have left to sell down is high and the density asset and wealth loans is low . so, migrating r wa towards the lending businesses improves the durability , the predictability , the recurring nature of it, it brings forth the holistic access to the clients, all their wealth management needs and it is more capital efﬁcient for us. so that is an underpinning component of the strategy as well.",3,2024,"now, to speak to the speciﬁcs of the deal, we are looking at a combination of both organic growth opportunities as well as inorganic growth opportunities. on the organic side, we are increasing our lending capacity organically through the expansion of our existing teams, the addition of new teams, and the expansion of our existing lending products, as well as the development of new lending products. on the inorganic side, we are actively looking for acquisitions in the lending space that would complement our existing capabilities and expand our reach into new markets or new client segments. we are focusing on the lower middle market segment, which is a segment that we have a lot of expertise in and have been successful in historically. specifically, we are looking at opportunities in asset based lending, wealth management lending, and equipment financing. we believe that these markets offer attractive growth opportunities and are underserved by larger players in the market.

The text discusses a strategy for migrating RWA (Risk Weighted Assets) towards lending businesses for a financial institution. The rationale behind this move includes improving durability, predictability, and recurring nature of the business, gaining holistic access to clients, and capital efficiency. The"
2,4,Betsy Graseck,,Morgan Stanley,question," okay , super . right, because it's collateralized heavily , right? okay . then the other question i had was just on the gm cut. i wanted to make sure i understood this. so as far as i get it's signed but not closed yet. so, can you give us a sense as to when you think it's going to close? and are there any trailers in your p&l  when it does close, for example, anything we should be aware of with regard to either payments to on the contract to gm? or is there like a lot of cap that you have to be involved in? i'm just trying to make sure i understand how to model this as we go forward.",3,2024,"The speaker is asking for clarification on the General Motors (GM) credit facility deal. They want to know when the deal is expected to close and if there are any trailers or additional costs associated with the contract that they should be aware of for modeling purposes. Since the deal is collateralized heavily, the speaker assumes it will close soon but wants confirmation from the speaker. They also inquire about any potential payments to GM upon closing and if there are any significant capital requirements."
3,4,Denis Coleman,Chief Financial Ofﬁcer,Goldman Sachs,answer," sure, betsy . so, in terms of timing, it's signed but not closed. there has to be a conversion to the new issuer and then ultimately at closing of the platform transfer expectations we're targeting q3 of 2025. so that's sort of timing from a modeling perspective. and i guess what i would tell you, we obviously have responsibility for operating the platform until that point in time. so, we will continue to incur call it, the run rate operating losses associated with that business. as a guide, i'd point you to where we were in q1 and q2 of this year , something on the order of negative $50 million or $60 million per quarter , just to give you a sense for how that rolls forward from here until closing.",3,2024,"but beyond that, there's minimal incremental expenses associated with this transaction beyond the ongoing run rate operating losses.

The text describes a transaction involving the signing but not yet closed transfer of a platform. The timing for the closing is predicted to be Q3 of 2025, and the company will continue to incur operating losses for the platform until that point. The losses are estimated to be around $50 million to $60 million per quarter. There are minimal additional expenses associated with the transaction beyond the ongoing losses."
0,5,Brennan Hawken,,UBS,question," i wanted to follow up a little bit on the investment backlog commentary . i know you said that advisory drove a lot of the growth in the backlog. but we did see some sponsors recently to the ipo market with some success. and so curious about what you're seeing on the ecm and ipo side, particularly as we see early signs of sponsors reengaging with that distribution channel?",3,2024,"The text is a query from a financial analyst regarding the investment backlog growth driven by advisory services and recent success in the Initial Public Offering (IPO) market for sponsors. The analyst is interested in gaining insights into the Equity Capital Markets (ECM) and IPO side of the business, as they observe sponsors re-engaging with this distribution channel."
1,5,David Solomon,"Chairman, Chief Executive Ofﬁcer",Goldman Sachs,answer," so, thanks for the question, brennan. i mean there's no question equity activity picked up. but as i highlighted a few moments ago, volumes are still running 25% below 10-year averages. and ipos running even more signiﬁcantly below 10-year averages. i do think the sponsors, again, some of it is sponsor monetization. and because sponsors have had their portfolios marked a little bit higher , they've been slow and they're kind of waiting for growth to bring up some of the values. but i do see an acceleration of activity and i expect it to continue, and there's no fundamental reason why equity volumes ultimately shouldn't run a 10-year averages. and that those averages will grow over time with a growth in market cap and a growth in the deployment of sponsored capital.",3,2024,"The speaker is addressing a question about the recent increase in equity activity but also acknowledges that volumes are still lower than average. They mention that IPOs are running significantly below 10-year averages and attribute this to sponsor monetization. Sponsors are waiting for growth to increase values before selling. Despite this, the speaker expects activity to continue to accelerate and eventually reach 10-year averages, which will grow as market cap and sponsored capital deployment increase."
2,5,Brennan Hawken,,UBS,question," great. and then we've seen several partnerships and some innovation getting announced in the private credit world recently . and given your heritage in that business, how do you plan to approach and prosecute that opportunity?",3,2024,"The text suggests that there have been recent developments and innovations in the private credit market. The speaker is asking the interviewee, who has a background in private credit, how they plan to capitalize on this opportunity. The speaker is likely a financial analyst or someone in a similar role, and they are interested in the interviewee's strategy for investing in private credit given the current market conditions and recent trends."
3,5,David Solomon,"Chairman, Chief Executive Ofﬁcer",Goldman Sachs,answer," sure. w e have a very broad and interesting credit platform that is integrated in a one gs way , to some degree, on a dif ferentiated way than many of the people we compete with. w e obviously , as a credit originator in our investment banking business are one of the leading credit originators is not a leading position in leveraged loans and high-yield debt for quite some time and a leading position with sponsors and the origination of that, we obviously , we originate and distribute. w e also in our asset & management business, we are a leading player in private credit with $140 billion of private credit assets and growing and investing in that. i think one of the things that's interesting when you look at the discussion and the integration of this around the street, there is plenty of capital that is interesting in deploying into private credit. the valuable part of the ecosystem is origination channels. and there are obviously some private credit players that have interesting origination channels and paltforms. but i would say when you look across goldman sachs, our origination ecosystem across both our global banking & networks business and also in our asset & w ealth management business, is unique and differentiated and something that i think will continue to dif ferentiate the ﬁrm as we continue to lean into and grow our private credit platform.",3,2024,"The text discusses Goldman Sachs' leading position as a credit originator in investment banking and its significant presence in private credit with $140 billion in assets. Goldman Sachs' unique origination ecosystem, which includes both its Global Banking & Networks business and Asset & Wealth Management business, sets it apart from competitors and will continue to differentiate the firm as it grows its private credit platform. The author emphasizes the importance of origination channels in private credit and highlights Goldman Sachs' unique capabilities in this area."
0,6,Steven Chubak,,W olfe Research,question," i wanted to spend some time just looking at or unpacking some of the self-help levers, recognizing that the business is still burdened by capital consumption from some of the noncore assets, whether it's in consumer or equity investments. denis, i believe in your prepared remarks, you alluded to an 80 bp drag on roe from consumer . and i was hoping you could maybe provide a more holistic picture, just frame the drag on returns from various noncore activities today . and are there any remaining self-help levers that could bolster returns which may still be on the come?",3,2024,"This text is from a conversation between a financial analyst and Denis, likely the CEO or CFO of a company. The analyst is expressing concern about the impact of noncore assets on the company's return on equity (ROE). Specifically, they mention a 80 basis point (bp) drag from consumer investments. The analyst is asking Denis to provide more details on the impact of noncore activities on ROE and if there are any remaining self-help levers (ways the company can improve its financial performance without external assistance) that could be implemented to boost returns."
1,6,Denis Coleman,Chief Financial Ofﬁcer,Goldman Sachs,answer," sure. i think the 80-basis point drag is the simplest way to understand the impact of those items, which we have identiﬁed as the selected items, which we have announced, we are in the process of disposing of. obviously , if we complete -- if we were to completely exit all consumer-related activities, there would be more associated capital relief potential. and we can obviously across the awm franchise moved down the vast majority of the hpi exposure, that currently has a little over $4 billion of attributed equity associated with it. so, you have the dynamic of sort of reducing the p&l  components. and then over time, we will remove the capital. so, removing the capital associated with hpi and then ultimately moving the capital associated with the consumer businesses that will provide incremental tailwinds to us over time.",3,2024,"To summarize for a financial analyst, this text is about a company that is disposing of consumer-related activities and reducing its exposure to home price insurance (HPI). The impact of these actions on the company's financials is described as an 80-basis point drag, meaning it is reducing earnings by 0.8%. The company could achieve more capital relief if it completely exits all consumer activities. Additionally, the company plans to move down most of its HPI exposure, which has over $4 billion in attributed equity, and remove the associated capital over time, providing incremental tailwinds."
2,6,Steven Chubak,,W olfe Research,question," that's great. and just for a follow-up on buybacks. just stock is currently trading at 1.6x book, does suggest some expectation in the market for returns to get closer to mid-teens roe target. just wanted to hear your perspective on price sensitivity to buy back at current valuation levels and in anticipation, at least of david's response, citing prioritization of organic growth where do you see the most attractive opportunities to deploy capital organically today?",3,2024,"what sectors and what types of investments?
The text appears to be from a conversation between two financial analysts discussing a company's stock price and its buyback program. The first analyst notes that the stock is currently trading at 1.6 times book value, which suggests that the market expects the company's returns to get closer to its mid-teen ROE target. The second analyst questions the price sensitivity of buying back shares at current valuation levels and asks about opportunities for organic growth. The second analyst expresses a belief that the company should prioritize organic growth over buybacks and asks about attractive opportunities in specific sectors and types of investments for organic growth."
3,6,Denis Coleman,Chief Financial Ofﬁcer,Goldman Sachs,answer," our capital deployment philosophy unchanged. i think if you take some of our comments in the prepared remarks about the outlook that we have, some of the engagement we're seeing from clients, potential opportunities for the capital markets reopening to take the next step forward and see capital committed acquisition ﬁnancing, that is an activity that's very core to goldman sachs. w e have a historical leading market share position there given netting up our advisory franchise and our underwriting capabilities. and so that would be an attractive place for us to deploy incremental capital continuing to drive the recurring revenue streams across wealth and the ﬁnancing business and public is an attractive place to deploy capital. and that is our priority as we sit here today with our 90 basis point buf fer heading into the fourth quarter . but we also remain very committed, as we've said before, to sustainably growing our dividend. that's a core part of our philosophy . and we do believe it's important to also continue to return capital to shareholders. w e do have a higher valuation. w e do think about that. w e are sensitive to that, but i don't believe that our current valuation is such that we shouldn't be also returning capital to shareholders.",3,2024,"so we'll continue to evaluate that over time.

The text discusses Goldman Sachs' capital deployment philosophy, which remains unchanged. The bank has a leading market position in capital committed acquisition financing, an activity it views as attractive for deploying incremental capital. Additionally, the wealth and financing business, as well as public, are considered priority areas for capital deployment. Goldman Sachs remains committed to sustainably growing its dividend and returning capital to shareholders, despite the current higher valuation."
