question_order,question_answer_group_id,speaker,role,content_type,content,quarter,year
2,2,David Solomon,answer,answer," sure, i'll start. i don't know denis might have something to add. but at a high level, this is a strategic decision that we have this big ultra-high net worth platform, and we were underinvested in lending to those clients. and there's a lot of historical reasons for why that's the case, starting with the fact that 15 years ago, we want a bank. and so, we really didn't look at the world that way . but lending into an ultra-high net worth franchise is a very good business, and it's a very important part of the business. and we understand that we've learned and we've seen it through investment banking, and we've seen it through market that when you holistically look at the integration of services that you provide to your client, including lending, you improve your market share position. so, when you look at our wealth franchise versus under other wealth franchises, we've been underpenetrated the lending to those wealth clients and we put in place resources a leadership team on a focused ef fort to increase that activity to these clients. while we've moved the needle, we're still underweighted versus other competitors like jpmorgan, and i would expect that we have a relatively good growth trajectory to continue to invest in that capability for our clients. and denis i don't know if there's anything you want to add on that?",3,2024
3,2,Denis Coleman,answer,answer," the only thing i'd amplify , which i think we've mentioned before, we feel like we've run this play before. so, we worked on a strategy to holistically cover clients in banking by integrating lending as part of the holistic suite of services we provided them, improved our market share position with those clients. w e've implemented the same thing across the gbm public businesses of ficc and equities. we stand underpenetrated relative to peers today , and we believe that by taking the same holistic approach to the clients in the wealth business that we can improve our market shares and the nature of our relationship with those clients. as david said, we are allocating incremental resources, more specialist capabilities and giving our advisers the conﬁdence to of fer a competitive product to their clients to improve the overall relationship they have with their clients.",3,2024
0,3,Mike Mayo,question,question," the ﬁrst question relates to why do you stop platform solution sets of business line? and what's happening with the apple card? and do you plan to exit that and take charges for that? and kind of what's going on with that? again, two-thirds of the ﬁrm's global banking market, one-third is wealth and asset management, and then you have this kind of extra business there.",3,2024
1,3,David Solomon,answer,answer," yes. thanks, mike. i mean i know there's a lot of focus on that. i think we've been pretty clear in our messaging that we are continuing to narrow our consumer footprint. i don't have a lot more to say about where we are with apple card other than we're running it and improving it. and that's really all that i have to say . but i think the direction of travel at this point is pretty clear .",3,2024
2,3,Mike Mayo,question,question," well, back to the core business then, you said m&a  is still 13% below 10-year averages. to what degree are 10-year averages less relevant because of the sponsor activity . you guys have said -- it seems like everyone has a dif ferent number , whether it's $1 trillion or $3 trillion of dry powder out there by sponsors that are ready , willing and able to pursue acquisitions. and i don't think you've ever had that level of dry powder before. so, could this be an m&a  super cycle because all that money gets put to work? and if so, how would you change that 10-year average to adjust for that?",3,2024
3,3,David Solomon,answer,answer," i mean, one, i think there are long-term secular trends around m&a  and market cap, which, by the way , are also meaningfully below trend i think that's more driven by the current regulatory environment and the fact that there has not been a lot of large-cap m&a  with the market cap expansion, especially around tap, that might be permanent. it might not, but my guess is that will ebb and ﬂow from time to time. but your sponsor point, mike, is a very , very good point. and the bottom line is the sponsors have been slower to turn on than i would have expected, but they will turn on. by the way , if that -- all that dry powder is deployed okay , m&a  volumes versus the 10-year averages will go up. but by the way , if we were sitting here ﬁve years ago, 10-year average was lower ﬁve years ago than it is today because the 10-year average is deﬁnitely correlated to market cap growth and economic growth. so, i do think we'll operate a 10-year averages. i do think over time, by the end of the decade, the 10-year average will actually be higher that it's been with a historical lens. but i will say at the point lower to deploy than we would have expected, but we see more activity . some of that is indicative of the growth in our backlog that we've highlighted. and i do think that sponsor activity will continue to accelerate over the next 6, 12, 24 months.",3,2024
0,4,Betsy Graseck,question,question," can you hear me okay? okay , super . yes, i totally agree. w e've been calling for capital markets rebound. it's really nice to see it coming through. two questions. one on the expanding loan of ferings that you mentioned earlier . and i know we touched on it brieﬂy in the q&a. just a few questions ago. what i wanted to make sure i understood is, when you think about the r wa impact of reducing the private investments that you're doing, you're reducing that portfolio and then increasing the expanded loan of ferings into asset & w ealth management. do you see that as r wa neutral is the density of the loan of ferings higher or lower than the investment, the private equity investments that you've got?",3,2024
1,4,Denis Coleman,answer,answer," sure, betsy . very good question. so generally speaking, the density of the hpi that we have left to sell down is high and the density asset and wealth loans is low . so, migrating r wa towards the lending businesses improves the durability , the predictability , the recurring nature of it, it brings forth the holistic access to the clients, all their wealth management needs and it is more capital efﬁcient for us. so that is an underpinning component of the strategy as well.",3,2024
2,4,Betsy Graseck,question,question," okay , super . right, because it's collateralized heavily , right? okay . then the other question i had was just on the gm cut. i wanted to make sure i understood this. so as far as i get it's signed but not closed yet. so, can you give us a sense as to when you think it's going to close? and are there any trailers in your p&l  when it does close, for example, anything we should be aware of with regard to either payments to on the contract to gm? or is there like a lot of cap that you have to be involved in? i'm just trying to make sure i understand how to model this as we go forward.",3,2024
3,4,Denis Coleman,answer,answer," sure, betsy . so, in terms of timing, it's signed but not closed. there has to be a conversion to the new issuer and then ultimately at closing of the platform transfer expectations we're targeting q3 of 2025. so that's sort of timing from a modeling perspective. and i guess what i would tell you, we obviously have responsibility for operating the platform until that point in time. so, we will continue to incur call it, the run rate operating losses associated with that business. as a guide, i'd point you to where we were in q1 and q2 of this year , something on the order of negative $50 million or $60 million per quarter , just to give you a sense for how that rolls forward from here until closing.",3,2024
0,5,Brennan Hawken,question,question," i wanted to follow up a little bit on the investment backlog commentary . i know you said that advisory drove a lot of the growth in the backlog. but we did see some sponsors recently to the ipo market with some success. and so curious about what you're seeing on the ecm and ipo side, particularly as we see early signs of sponsors reengaging with that distribution channel?",3,2024
1,5,David Solomon,answer,answer," so, thanks for the question, brennan. i mean there's no question equity activity picked up. but as i highlighted a few moments ago, volumes are still running 25% below 10-year averages. and ipos running even more signiﬁcantly below 10-year averages. i do think the sponsors, again, some of it is sponsor monetization. and because sponsors have had their portfolios marked a little bit higher , they've been slow and they're kind of waiting for growth to bring up some of the values. but i do see an acceleration of activity and i expect it to continue, and there's no fundamental reason why equity volumes ultimately shouldn't run a 10-year averages. and that those averages will grow over time with a growth in market cap and a growth in the deployment of sponsored capital.",3,2024
2,5,Brennan Hawken,question,question," great. and then we've seen several partnerships and some innovation getting announced in the private credit world recently . and given your heritage in that business, how do you plan to approach and prosecute that opportunity?",3,2024
3,5,David Solomon,answer,answer," sure. w e have a very broad and interesting credit platform that is integrated in a one gs way , to some degree, on a dif ferentiated way than many of the people we compete with. w e obviously , as a credit originator in our investment banking business are one of the leading credit originators is not a leading position in leveraged loans and high-yield debt for quite some time and a leading position with sponsors and the origination of that, we obviously , we originate and distribute. w e also in our asset & management business, we are a leading player in private credit with $140 billion of private credit assets and growing and investing in that. i think one of the things that's interesting when you look at the discussion and the integration of this around the street, there is plenty of capital that is interesting in deploying into private credit. the valuable part of the ecosystem is origination channels. and there are obviously some private credit players that have interesting origination channels and paltforms. but i would say when you look across goldman sachs, our origination ecosystem across both our global banking & networks business and also in our asset & w ealth management business, is unique and differentiated and something that i think will continue to dif ferentiate the ﬁrm as we continue to lean into and grow our private credit platform.",3,2024
0,6,Steven Chubak,question,question," i wanted to spend some time just looking at or unpacking some of the self-help levers, recognizing that the business is still burdened by capital consumption from some of the noncore assets, whether it's in consumer or equity investments. denis, i believe in your prepared remarks, you alluded to an 80 bp drag on roe from consumer . and i was hoping you could maybe provide a more holistic picture, just frame the drag on returns from various noncore activities today . and are there any remaining self-help levers that could bolster returns which may still be on the come?",3,2024
1,6,Denis Coleman,answer,answer," sure. i think the 80-basis point drag is the simplest way to understand the impact of those items, which we have identiﬁed as the selected items, which we have announced, we are in the process of disposing of. obviously , if we complete -- if we were to completely exit all consumer-related activities, there would be more associated capital relief potential. and we can obviously across the awm franchise moved down the vast majority of the hpi exposure, that currently has a little over $4 billion of attributed equity associated with it. so, you have the dynamic of sort of reducing the p&l  components. and then over time, we will remove the capital. so, removing the capital associated with hpi and then ultimately moving the capital associated with the consumer businesses that will provide incremental tailwinds to us over time.",3,2024
2,6,Steven Chubak,question,question," that's great. and just for a follow-up on buybacks. just stock is currently trading at 1.6x book, does suggest some expectation in the market for returns to get closer to mid-teens roe target. just wanted to hear your perspective on price sensitivity to buy back at current valuation levels and in anticipation, at least of david's response, citing prioritization of organic growth where do you see the most attractive opportunities to deploy capital organically today?",3,2024
3,6,Denis Coleman,answer,answer," our capital deployment philosophy unchanged. i think if you take some of our comments in the prepared remarks about the outlook that we have, some of the engagement we're seeing from clients, potential opportunities for the capital markets reopening to take the next step forward and see capital committed acquisition ﬁnancing, that is an activity that's very core to goldman sachs. w e have a historical leading market share position there given netting up our advisory franchise and our underwriting capabilities. and so that would be an attractive place for us to deploy incremental capital continuing to drive the recurring revenue streams across wealth and the ﬁnancing business and public is an attractive place to deploy capital. and that is our priority as we sit here today with our 90 basis point buf fer heading into the fourth quarter . but we also remain very committed, as we've said before, to sustainably growing our dividend. that's a core part of our philosophy . and we do believe it's important to also continue to return capital to shareholders. w e do have a higher valuation. w e do think about that. w e are sensitive to that, but i don't believe that our current valuation is such that we shouldn't be also returning capital to shareholders.",3,2024
0,7,Devin Ryan,question,question," question on just the alternative asset management fundraising. and looking at the fee rates. so, the largest at bucket corporate equity is seeing a declining fee rate since the end of 2022. i know there were some legacy funds in there that are sensing, but it would just be great to get an update on the outlook for the fee rates, just given all that fundraising that you've done in alts in recent years. and just when we should think about the inﬂection occurring as recently raised aum moves into fee earnings? and then we should think about kind of the right steady state because it would seem like out there.",3,2024
1,7,Denis Coleman,answer,answer," sure. thank you. appreciate the question. obviously , we put that disclosure out there, so you can track it and follow it over time. it's obviously very much mix dependent in terms of the nature of the particular at assets that are coming in thing which is a strategic initiative that is very valuable to growth of our asset management franchise, an important to a lot of our investment in our clients are the services we provide through our ocio of ferings. but in certain of those portfolios, we do bring on board some alts assets and the effective fee associated with that is lower than paid goldman sachs fund generated alternative fee. so, we have a multichannel asset accumulation strategy that we're deploying to grow the overall scale and scope of that business. and for us, having scale is an important contributor , ultimately , to driving margins, efﬁciencies and returns in the business, but not each of the channels comes with the same exact effective fee. so, you may see some slight variation in that over time.",3,2024
2,7,Devin Ryan,question,question," okay . and then just a follow-up on the trading business, obviously , results have been incredibly resilient and the ﬁrm has gained market share. and so, i'd love to get a little bit of a ﬂavor , if you can, just around how much of trading revenue today is driven by your electronic trading capabilities and how that's evolved over the past handful of years. i know there's been a lot of investment there, and you guys have some pretty dif ferentiated of fering. so, i just wanted to get a little bit of sense of that. and then how that plays into the story of market share from here just as you become more relevant with clients.",3,2024
3,7,Denis Coleman,answer,answer," sure. thanks for the question. i mean we look at equity and then frankly , even ficc trading activities, the strategy facing clients is multichannel again. so, we have voice. we have high-touch voice, and we have electronic, and increasingly , we're ﬁnding ways to integrate those activities to optimize ultimately the way that we can make markets and deliver solutions for clients. so, we have both, call it, run rate, more plain vanilla intermediation activities. now we have the capacity to either take on board more interesting structure or complicated trades with or without deployment of risk capital in the process. and the approach is to have a distributed set of channels across the public side trading businesses.",3,2024
0,8,Dan Fannon,question,question," denis, i want to come back to a comment you made about reiterating the $1 billion goal for performance fees. and i think you said $4 billion of unrecognized gains. you're obviously run rating well below that here year-to-date. can you talk about the time period you think to get to that $1 billion? and is there seasonality with certain maybe liquid products that are typically more recognized in the fourth quarter? or is this something that should be more pro rata?",3,2024
1,8,Denis Coleman,answer,answer," so, the $4 billion is versus the stock of outstanding funds that are in process of deploying, completing harvesting and migrating their way to the end to their investment cycle. given a lot of the other commentary that we've been discussing about level of activity , strategically , openness of capital markets, in particular , equity capital markets, sponsor monetization activity , et cetera, as it relates to our portfolio where we own some balance sheet investments, and we own investments in funds, we have not had as much monetization in line with where the market has been generally . so as activity improves, we will also see more monetization and we expect that over the next several years, we will move towards those medium-term targets of a run rate, $1 billion worth of incentive fees. but i can't tell you exactly the rates that comes in, that will be dependent on how ultimately these funds harvest and when we're in a position to ultimately pay carry to investors and recognize our own incentive fees.",3,2024
2,8,Dan Fannon,question,question," got it. and then just a follow-up on wealth management, understanding the strategy of growing lending. but can you talk about the growth overall of the adviser base and how you're thinking about that over the next kind of one to two years in terms of net recruiting, hires and ultimately , investment in that business beyond just diversifying the revenue streams?",3,2024
3,8,Denis Coleman,answer,answer," sure. so, i think we have made a strategic decision that the investment in advisers needs to be a strategic and sustained investment program. so rather than having it a sort of ebb and ﬂow across dif ferent market environments or based on what the ﬁrm's perceived capacity to invest may or may not have been at dif ferent years in the past. i think part of the strategy of investing in what is a really outstanding business at goldman sachs, where we're the premier ultra-high net worth ﬁrm, we are making a sustained commitment to invest in advisers over multiple years. and so that is sort of a foundational underpinning of how we're looking to invest in that business. and when david makes comments about our ability to drive growth and returns across awm and that we are focused not just on margins and returns, but investing to grow . one of the places that we think is an attractive place to invest and grow is actually in the adviser footprint.",3,2024
0,9,Gerard Cassidy,question,question," can you guys share with us your goldman is in a unique position, i think, to be able to share with investors the beneﬁts of private credit. i think, david, you mentioned you have $140 billion in private credit assets. and when you see your clients choosing a channel to access monies from you, whether it's private credit or just lending. can you share with us the advantages that you see through private credit or the regular loan portfolio that your customers may beneﬁt from?",3,2024
1,9,David Solomon,answer,answer," so, i appreciate the question, gerard. i think one of the things that's interesting about this is, this gets framed in very binary ways. and obviously , private credit is a broad term and it refers to a lot of things. it certainly refers to a lot of investment-grade lending, a lot of which is on insurance company balance sheets. it can refer to direct lending in the below investment-grade business, which, by the way , is a component of our syndication activity and origination activity , particularly with sponsors. it can be direct lending for small and medium-sized enterprises. so, there's a wide range of things. when i listened to your question, when i pull away as you're asking in particular about leverage ﬁnance activity and how our clients choose channels in terms of where to get capital. and i'd say they don't go in through the bias, they're actually looking for a capital structure that works for their particular solution. and i think that one of the things that positions us well is we are a unique player that we have an ability to either syndicate and underwrite distribute. we have an ability to direct lend. w e have an ability to show clients alternatives that can best meet their needs and their might needs might be dif ferent in dif ferent transactional situation. so, we like our positioning there. i do say that i believe from a secular perspective, there will be continued growth in private credit, particularly in the leveraged ﬁnance space. and so, we're looking to capture that. but it's more complicated. there are dif ferent channels, there's dif ferent origination ef forts than sometimes the way this is all for trade. but we feel like we're well positioned across the spectrum to be a signiﬁcant participant in this space.",3,2024
2,9,Gerard Cassidy,question,question," and david, just a quick follow-up on that. that was very thorough. who do you ﬁnd these your primary competitors? again, you're in a unique position, i think, to be able to beneﬁt from this. who do you bump into the most?",3,2024
3,9,David Solomon,answer,answer," well, it depends what you're doing. so, it goes back to exactly what i said it, it depends what you're doing. if you're in the leverage ﬁnance market and you're looking at a syndicated capital structure and you're competing for that, you're going to bump into jpmorgan, for example. if on the other hand, you're looking at direct lenders, then you're going to bump into a bunch of people that play a leading role in that space, which can include people like hps or ares or other direct platforms. if you're looking at investment grade, insurance company balance sheet, you might run into apollo. i mean it really depends on who the client is, what their need is and what the activity is. and it's actually quite a broad and complicated space.",3,2024
4,9,Denis Coleman,answer,answer," i mean the only thing i'd add, gerard, if you just think about it, i think david has laid this out really well. if you think about where goldman sachs is positioned against this opportunity set. w e have capacity to lend to alternative clients, for example, who are deploying into the private credit space. w e have the capacity to underwrite and distribute dif ferent types of investment-grade and noninvestment-grade capital structures and we have the capacity to of fer investment opportunities to clients who want to get exposed to the asset class. and while we compete with all of those different parties that david enumerated, i'm hard-pressed to ﬁnd many people that have the breadth of exposure to each aspect of this ecosystem relative to us. so we really like our position in terms of the secular trends there and how we can support clients in each and every aspect of the continuum.",3,2024
0,10,Saul Martinez,question,question," i wanted to ask about the margin trajectory in asset & w ealth management. year-to- date, you're at -- you got a 24% pretax margin. you've already reach the mid-20s medium-term target. i know you've talked about that margin expanding beyond mid- 20s. but how do we think about where it can ultimately land in the time horizon around it? obviously , you're growing your all business, you have $4 billion of unrecognized incentive fees. you talked about the private banking and lending platform. just can you get to a pretax margin of above 30% like your peers? and again, how do we think about the glide path from here and the time horizon around that?",3,2024
1,10,Denis Coleman,answer,answer," sure. thank you, saul. so obviously , we've just arrived at our mid-20s target. i think it's important that we consolidate our position there. w e think there are plenty of opportunities to continue to drive that margin higher as we scale top line, as we improve the mix of alternatives across our platform, and we look to drive other operating efﬁciencies across the business segment. there are plenty of competitors that have margins as you cite, that are 30% or higher . so, our commitment is to continue to improve the margins. but we're also thinking increasingly about opportunities we have to scale and create value for the long-term. so, we are going to try and ﬁnd the balance between incremental margin improvement and making the right investment decisions that unlock long-term value in this segment. but for the time being, we think that both can be achieved.",3,2024
2,10,Saul Martinez,question,question," okay . got it. that's helpful. and then maybe if i could follow up on capital and just how you're thinking i know you talked about your capital strategy a bit. but how are you thinking about just capital allocation buybacks given the uncertainty around basel, we have a proposal, we have the speech outlining the reproposal. w e have an agency that seemingly one of the agencies, obviously , resisting seemingly the reproposal. w e have an election that could play a big role in terms of inﬂuencing whatever outcome happens. so just -- i mean, how are you thinking about your capital? and why do you think a 90-basis point buf fer is the write buf fer given all that uncertainty .",3,2024
3,10,Denis Coleman,answer,answer," okay . thank you. look, what i would say for the last period of quarters and years, we've been operating in an environment with a bunch of regulatory uncertainty . there's also been operating uncertainty as well. i think the economic trajectory , outlook and client franchise is coming more into focus frankly , that presents opportunities. so, we run a buf fer so that we have pent-up capacity to support incoming client opportunities. but we also run the buf fer given other uncertainties in the world, which include regulatory . as to when we will have the next bit of clarity and be able to interpret exactly what that means for our capital position, i couldn't tell you right now . but we have a long history of making adjustments to our activities when we get that regulatory feedback. from everything we know , there are generally time lines associated with those rules coming into ef fect. and we feel like this is the right place to run our capital to support the client franchise and be prepared for other unexpected developments, including regulatory .",3,2024
0,0,Ebrahim Poonawala,question,question," good morning. i guess maybe just david following up on the comments you made around regulations. like, when you talk to investors, i mean, we saw what happened with the scb last year . and i think there's been a laser focus on being more punitive on capital markets post gfc for many justiﬁable reasons. but just talk to us when you think about the regulatory outlook and i appreciate signiﬁcant uncertainty we're waiting for policymakers to kind of take new feed, but how do you think that plays out? and in particular , in terms of the operating backdrop for your capital markets business, investment banking business, like, how should we think about how could it be dif ferent over the next two to three years relative to the last ﬁve or even 10 years?",4,2024
1,0,David Solomon,answer,answer," well, it's hard -- i mean, it's hard for me to speculate given where we are, and i appreciate the question. it's something, obviously , we're spending a lot of time thinking about, but i think they're obviously -- when you talk about capital, there are obviously three avenues. first, there is ccar and you'd note the industry took an action because the industry doesn't think that the way ccar operates and the lack of transparency is appropriate or candidly legal. and so that's why we took the action that we did. the fed has commented that it plans to make changes in adjustments. but obviously , there are changes going on with the administration shift. there are changes going on at the fed. and it's hard for me to speculate how that will all play forward other than to say that the industry believes, as an industry , we believe strongly , and we believe this for years, this is not working appropriately at a system with more transparent and consistent capital that you can plan around makes a more efﬁcient and more productive system. and so we're hopeful that we'll make some progress with that. the second, obviously , is basel iii. and given the change in administration and the change of leadership inside the fed, our expectation would be that there'll be a different approach than what have been put forward. but again, we'll have to watch, and we'll have to wait. and then last, there's g-sib and the calibration of g-sib. g- sib was always supposed to be calibrated to growth in market cap economies it hasn't been. and so that's another avenue of dialogue. net-net, unpredictable. i don't want to predict. i don't want to speculate. but certainly , it feels like we're in an environment where there could be a constructive discussion about improving the transparency , clarity and consistency around this. and i think that would be very , very good, both for the system and capital markets broadly (ph).",4,2024
2,0,Ebrahim Poonawala,question,question," that's fair . and just a follow-up on the slide 5, you mentioned the forward catalyst, increased sponsor activity . we've been waiting for this. w e have seen some signs of a pickup there. you've talked about m&a  being sort of sub 10-year averages. give us a sense of just how quickly -- i mean, we know the doj, ftc backdrop will be more conducive for dealmaking, just how quickly could we see a more signiﬁcant ramp up around deals, ipos? is it a second half event? could we see that as early as the next couple of months?",4,2024
3,0,David Solomon,answer,answer," i think you're going to see it throughout 2025. i don't want to speculate where it will land versus 10 year averages, but it's certainly setting up to be much more constructive and robust. and the data set that we would have that allows us to articulate that is, we can obviously track our backlog, but we can also track increased activities, dialogues inside the ﬁrm. and i’d say there’ s been a meaningful pickup in large-cap m&a  dialogue and inquiry . there’ s been a meaningful pickup in sponsor inquiry and dialogue, and we continue to see strong positive backlog trends as denis highlighted to you.",4,2024
0,1,Christian Bolu,question,question," good morning, david and denis. maybe just follow-up, maybe take a question here. but if i'm reading the slides correctly , footnotes 1 1 and 12, which help bridge your roe gap to 15%. are you assuming sort of roughly $9 billion of capital return from hpi platform solutions to shareholders? because if you are, maybe talk through how that puts against things like slr constraints at that level of capital return? and then just more broadly on capital, just given the improving opportunity set here, how are you balancing returning capital to shareholders versus investing in the business?",4,2024
